,Growth,Type (English),Type (Chinese),Vendor (English),Vendor (Chinese),Wine (English),Wine (Chinese),Region (English),Region (Chinese),Country (English),Country (Chinese),Vintage,Ratings
127,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Batailley,,Chateau Batailley,,"Pauillac, Bordeaux",波爾多,France,法國,,
128,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Haut Batailley,,Chateau Haut Batailley,,,波爾多,France,法國,,
129,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,,Chateau Grand Puy Lacoste,,"Pauillac, Bordeaux",波爾多,France,法國,,
130,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Lacoste,,Lacoste Borie,,"Pauillac, Bordeaux",波爾多,France,法國,,
131,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Ducasse,,Chateau Grand Puy Ducasse,,"Pauillac, Bordeaux",波爾多,France,法國,,
132,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Grand Puy Ducasse,,Prelude a Grand Puy Ducasse,,"Pauillac, Bordeaux",波爾多,France,法國,,
133,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,,Chateau Lynch Bages,,"Pauillac, Bordeaux",波爾多,France,法國,,
134,Bordeaux Grand Cru Classe 5th Growths,White,白酒,Chateau Lynch Bages,,Chateau Lynch Bages Blanc,,"Pauillac, Bordeaux",波爾多,France,法國,,
135,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch Bages,,Echo de Lynch Bages,,"Pauillac, Bordeaux",波爾多,France,法國,,
136,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Lynch-Moussas,,Chateau Lynch-Moussas,,"Pauillac, Bordeaux",波爾多,France,法國,,
137,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,Chateau Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,
138,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,Aurore de Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,
139,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,Labastide Dauzac,,"Margaux, Bordeaux",波爾多,France,法國,,
140,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Dauzac,,Chateau Labarde,,"Margaux, Bordeaux",波爾多,France,法國,,
141,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,Chateau d’Armailhac,,,波爾多,France,法國,,
142,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,Chateau Du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,
143,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,Les Hauts du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,
144,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Haut Bages Liberal,,Chateau Haut Bages Liberal,,"Pauillac, Bordeaux",波爾多,France,法國,,
145,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Haut Bages Liberal,,La Chapelle de Bages,,"Pauillac, Bordeaux",波爾多,France,法國,,
146,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Haut Bages Liberal,,La Fleur de Haut Bages Liberal,,"Pauillac, Bordeaux",波爾多,France,法國,,
147,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Haut Bages Liberal,,Le Pauillac de Haut Bages Liberal,,"Pauillac, Bordeaux",波爾多,France,法國,,
148,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pedesclaux,,Chateau Pedesclaux,,"Pauillac, Bordeaux",波爾多,France,法國,,
149,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Pedesclaux,,Fleur de Pedesclaux,,"Pauillac, Bordeaux",波爾多,France,法國,,
150,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Belgrave,,Chateau Belgrave,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
151,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Belgrave,,Diane de Belgrave,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
152,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,Chateau Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
153,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,La Closerie de Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
154,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,Le Baily de Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
155,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Camensac,,Second de Camensac,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
156,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cos Labory,,Chateau Cos Labory,,"St. Estephe, Bordeaux",波爾多,France,法國,,
157,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cos Labory,,Charme de Cos Labory,,"St. Estephe, Bordeaux",波爾多,France,法國,,
158,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,Chateau Clerc Milon,,"Pauillac, Bordeaux",波爾多,France,法國,,
159,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Baron Philippe de Rothschild,,Pastourelle de Clerc Milon,,"Pauillac, Bordeaux",波爾多,France,法國,,
160,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Croizet-Bages,,Chateau Croizet-Bages,,"Pauillac, Bordeaux",波爾多,France,法國,,
161,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,Chateau Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
162,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Cantemerle,,Les Allees de Cantemerle,,"Haut Medoc, Bordeaux",波爾多,France,法國,,
163,Graves,White,白酒,Chateau Bouscaut,,Chateau Bouscaut Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
164,Graves,White,白酒,Chateau Bouscaut,,Les Chenes de Bouscaut Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
165,Graves,Red,紅酒,Chateau Bouscaut,,Chateau Bouscaut,,"Graves, Bordeaux",波爾多,France,法國,,
166,Graves,Red,紅酒,Chateau Bouscaut,,Les Chenes de Bouscaut,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
167,Graves,Red,紅酒,Chateau Haut Bailly,,Chateau Haut Bailly,,"Graves, Bordeaux",波爾多,France,法國,,
168,Graves,Red,紅酒,Chateau Haut Bailly,,Chateau le Pape,,"Graves, Bordeaux",波爾多,France,法國,,
169,Graves,Red,紅酒,Chateau Haut Bailly,,Pessac Leognan de Haut Bailly,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
170,Graves,Red,紅酒,Chateau Haut Bailly,,La Parde Haut Bailly,,"Graves, Bordeaux",波爾多,France,法國,,
171,Graves,Rose,玫瑰酒,Chateau Haut Bailly,,Rose de Haut Bailly,,"Graves, Bordeaux",波爾多,France,法國,,
172,Graves,Red,紅酒,Chateau Carbonnieux,,Chateau Carbonnieux Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
173,Graves,White,白酒,Chateau Carbonnieux,,Chateau Carbonnieux Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
174,Graves,Red,紅酒,Chateau Carbonnieux,,La Croix de Carbonnieux Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
175,Graves,White,白酒,Chateau Carbonnieux,,La Croix de Carbonnieux Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
176,Graves,Red,紅酒,Chateau Carbonnieux,,Chateau Tour Leognan Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
177,Graves,White,白酒,Chateau Carbonnieux,,Chateau Tour Leognan Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
178,Graves,White,白酒,Domaine de Chevalier,,Domaine de Chevalier Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
179,Graves,Red,紅酒,Domaine de Chevalier,,Domaine de Chevalier Rouge,,"Graves, Bordeaux",波爾多,France,法國,,
180,Graves,Red,紅酒,Domaine de Chevalier,,Esprit de Chevalier,,"Graves, Bordeaux",波爾多,France,法國,,
181,Graves,Red,紅酒,Chateau de Fieuzal,,Chateau de Fieuzal Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
182,Graves,White,白酒,Chateau de Fieuzal,,Chateau de Fieuzal Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
183,Graves,Red,紅酒,Chateau de Fieuzal,,L'Abeille de Fieuzal Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
184,Graves,White,白酒,Chateau de Fieuzal,,L'Abeille de Fieuzal Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
185,Graves,Red,紅酒,Chateau Olivier,,Chateau Olivier Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
186,Graves,White,白酒,Chateau Olivier,,Chateau Olivier Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
187,Graves,Red,紅酒,Chateau Olivier,,Le Dauphin d'Olivier Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
188,Graves,White,白酒,Chateau Olivier,,Le Dauphin d'Olivier Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
189,Graves,Red,紅酒,Chateau Olivier,,La Seigneurerie d'Olivier,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
190,Graves,Red,紅酒,Chateau Malartic Largraviere,,Chateau Malartic Largraviere Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
191,Graves,White,白酒,Chateau Malartic Largraviere,,Chateau Malartic Largraviere Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
192,Graves,Red,紅酒,Chateau Malartic Largraviere,,La Reserve Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
193,Graves,White,白酒,Chateau Malartic Largraviere,,La Reserve Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
194,Graves,Red,紅酒,Chateau La Tour Martillac,,Chateau La Tour Martillac Rouge,,"Graves, Bordeaux",波爾多,France,法國,,
195,Graves,White,白酒,Chateau La Tour Martillac,,Chateau La Tour Martillac Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
196,Graves,Red,紅酒,Chateau Smith Haut Lafitte,,Chateau Smith Haut Lafitte Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
197,Graves,White,白酒,Chateau Smith Haut Lafitte,,Chateau Smith Haut Lafitte Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
198,Graves,Red,紅酒,Chateau Smith Haut Lafitte,,Hauts de Smith Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
199,Graves,White,白酒,Chateau Smith Haut Lafitte,,Hauts de Smith Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
200,Graves,Red,紅酒,Chateau Smith Haut Lafitte,,Le Petit Haut Lafitte Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
201,Graves,White,白酒,Chateau Smith Haut Lafitte,,Le Petit Haut Lafitte Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
202,Graves,Red,紅酒,Domaine Clarence Dillon,,Chateau La Mission Haut Brion Rouge,,"Graves, Bordeaux",波爾多,France,法國,,
203,Graves,White,白酒,Domaine Clarence Dillon,,Chateau La Mission Haut Brion Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
204,Graves,Red,紅酒,Domaine Clarence Dillon,,La Chapelle de La Mission Haut Brion,,"Graves, Bordeaux",波爾多,France,法國,,
205,Graves,White,白酒,Domaine Clarence Dillon,,La Clarte de Haut Brion,,"Graves, Bordeaux",波爾多,France,法國,,
206,Graves,Red,紅酒,Chateau Pape Clement,,Chateau Pape Clement Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
207,Graves,White,白酒,Chateau Pape Clement,,Chateau Pape Clement Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
208,Graves,Red,紅酒,Chateau Pape Clement,,Le Clementin du Pape Clement Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
209,Graves,White,白酒,Chateau La Tour Haut Brion,,Le Clementin du Pape Clement Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
210,Graves,Red,紅酒,Chateau Couhins,,Chateau Couhins Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
211,Graves,White,白酒,Chateau Couhins,,Chateau Couhins White,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
212,Graves,Red,紅酒,Chateau Couhins,,Couhins La Gravette Rouge,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
213,Graves,White,白酒,Chateau Couhins,,Couhins La Gravette Blanc,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,
214,Graves,White,白酒,Chateau Couhins Lurton,,Chateau Couhins Lurton Blanc,,"Graves, Bordeaux",波爾多,France,法國,,
215,Graves,Red,紅酒,Chateau Couhins Lurton,,Chateau Couhins Lurton Rouge,,"Graves, Bordeaux",波爾多,France,法國,,
216,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Angelus,,Chateau Angelus,,"St. Emilion, Bordeaux",波爾多,France,法國,,
217,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Ausone,,Chateau Ausone,,"St. Emilion, Bordeaux",波爾多,France,法國,,
218,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,,Chateau Cheval Blanc,,"St. Emilion, Bordeaux",波爾多,France,法國,,
219,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Pavie,,Chateau Pavie,,"St. Emilion, Bordeaux",波爾多,France,法國,,
220,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Beausejour Duffau-Lagarrosse,,Chateau Beausejour Duffau-Lagarrosse,,"St. Emilion, Bordeaux",波爾多,France,法國,,
221,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Beau-Sejour Becot,,Chateau Beau-Sejour Becot,,"St. Emilion, Bordeaux",波爾多,France,法國,,
222,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Belair-Monange,,Chateau Belair-Monange,,"St. Emilion, Bordeaux",波爾多,France,法國,,
223,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon,,Chateau Canon,,"St. Emilion, Bordeaux",波爾多,France,法國,,
224,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Canon La Gaffeliere,,Chateau Canon La Gaffeliere,,"St. Emilion, Bordeaux",波爾多,France,法國,,
225,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Figeac,,Chateau Figeac,,"St. Emilion, Bordeaux",波爾多,France,法國,,
226,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Clos Fourtet,,Clos Fourtet,,"St. Emilion, Bordeaux",波爾多,France,法國,,
227,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau La Gaffeliere,,Chateau La Gaffeliere,,"St. Emilion, Bordeaux",波爾多,France,法國,,
228,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Larcis Ducasse,,Chateau Larcis Ducasse,,"St. Emilion, Bordeaux",波爾多,France,法國,,
229,St. Emilion Premier Grand Cru Classe B,Red,紅酒,La Mondotte,,La Mondotte,,"St. Emilion, Bordeaux",波爾多,France,法國,,
230,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Pavie Macquin,,Chateau Pavie Macquin,,"St. Emilion, Bordeaux",波爾多,France,法國,,
231,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Troplong Mondot,,Chateau Troplong Mondot,,"St. Emilion, Bordeaux",波爾多,France,法國,,
232,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Trotte Vieille,,Chateau Trotte Vieille,,"St. Emilion, Bordeaux",波爾多,France,法國,,
233,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Valandraud,,Chateau Valandraud,,"St. Emilion, Bordeaux",波爾多,France,法國,,
234,St. Emilion Grand Cru Classe,Red,紅酒,Chateau L’Arrosee,,Chateau L’Arrosee,,"St. Emilion, Bordeaux",波爾多,France,法國,,
235,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Balestard La Tonnelle,,Chateau Balestard La Tonnelle,,"St. Emilion, Bordeaux",波爾多,France,法國,,
236,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Barde Haut,,Chateau Barde Haut,,"St. Emilion, Bordeaux",波爾多,France,法國,,
237,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Bellefont-Belcier,,Chateau Bellefont-Belcier,,"St. Emilion, Bordeaux",波爾多,France,法國,,
238,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Bellevue,,Chateau Bellevue,,"St. Emilion, Bordeaux",波爾多,France,法國,,
