,Wine,Vintage,Format,Region,Cost,Qty,Negoce
158,CHATEAU GRAND PUY LACOSTE,2011,75cl,Bordeaux,38.4,0,Joanne
159,CHATEAU GRAND PUY LACOSTE,2006,75cl,Bordeaux,43.0,0,Joanne
160,CHATEAU GRAND PUY LACOSTE,2005,75cl,Bordeaux,89.0,0,Joanne
161,CHATEAU HAUT BAGES LIBERAL,2013,75cl,Bordeaux,19.8,0,Joanne
162,CHATEAU HAUT BAGES LIBERAL,2012,75cl,Bordeaux,22.0,0,Joanne
163,CHATEAU HAUT BAGES LIBERAL,2011,75cl,Bordeaux,22.5,0,Joanne
164,CHATEAU HAUT BAGES LIBERAL,2008,75cl,Bordeaux,26.0,0,Joanne
165,CHATEAU HAUT BAGES LIBERAL,2007,75cl,Bordeaux,26.0,0,Joanne
166,CHATEAU HAUT BAGES LIBERAL,2005,75cl,Bordeaux,42.0,0,Joanne
167,CHATEAU HAUT-BATAILLEY,2013,75cl,Bordeaux,21.0,0,Joanne
168,CHATEAU HAUT-BATAILLEY,2012,75cl,Bordeaux,23.0,0,Joanne
169,CHATEAU HAUT-BATAILLEY,2011,75cl,Bordeaux,24.5,0,Joanne
170,CHATEAU HAUT-BATAILLEY,2010,75cl,Bordeaux,39.0,0,Joanne
171,CHATEAU HAUT-BATAILLEY,2006,75cl,Bordeaux,35.0,0,Joanne
172,CHATEAU LAFITE ROTHSCHILD,2011,75cl,Bordeaux,440.0,0,Joanne
173,CHATEAU LATOUR,2011,75cl,Bordeaux,450.0,0,Joanne
174,CHATEAU LATOUR,2008,75cl,Bordeaux,455.0,0,Joanne
175,CHATEAU LATOUR,2007,75cl,Bordeaux,380.0,0,Joanne
176,CHATEAU LATOUR,2004,75cl,Bordeaux,435.0,0,Joanne
177,CHATEAU LYNCH BAGES,2013,75cl,Bordeaux,73.0,0,Joanne
178,CHATEAU LYNCH BAGES,2012,75cl,Bordeaux,75.0,0,Joanne
179,CHATEAU LYNCH BAGES,2011,75cl,Bordeaux,75.0,0,Joanne
180,CHATEAU LYNCH BAGES,2010,75cl,Bordeaux,115.0,0,Joanne
181,CHATEAU LYNCH BAGES,2007,75cl,Bordeaux,91.0,0,Joanne
182,CHATEAU LYNCH BAGES,2005,75cl,Bordeaux,140.0,0,Joanne
183,CHATEAU LYNCH MOUSSAS,2009,75cl,Bordeaux,27.0,0,Joanne
184,CHATEAU MOUTON ROTHSCHILD,2013,75cl,Bordeaux,310.0,0,Joanne
185,CHATEAU MOUTON ROTHSCHILD,2012,75cl,Bordeaux,330.0,0,Joanne
186,CHATEAU MOUTON ROTHSCHILD,2011,75cl,Bordeaux,340.0,0,Joanne
187,CHATEAU MOUTON ROTHSCHILD,2008,75cl,Bordeaux,375.0,0,Joanne
188,CHATEAU MOUTON ROTHSCHILD,2007,75cl,Bordeaux,360.0,0,Joanne
189,CHATEAU PEDESCLAUX,2011,75cl,Bordeaux,20.5,0,Joanne
190,CHATEAU PIBRAN,2011,75cl,Bordeaux,18.0,0,Joanne
191,CHATEAU PICHON BARON,2012,75cl,Bordeaux,67.0,0,Joanne
192,CHATEAU PICHON BARON,2011,75cl,Bordeaux,72.0,0,Joanne
193,CHATEAU PICHON BARON,2009,75cl,Bordeaux,140.0,0,Joanne
194,CHATEAU PICHON BARON,2005,75cl,Bordeaux,120.0,0,Joanne
195,CHATEAU PICHON BARON,2003,75cl,Bordeaux,120.0,0,Joanne
196,CHATEAU PICHON LALANDE,2012,75cl,Bordeaux,78.0,0,Joanne
197,CHATEAU PICHON LALANDE,2011,75cl,Bordeaux,72.0,0,Joanne
198,CHATEAU PICHON LALANDE,2010,75cl,Bordeaux,125.0,0,Joanne
199,CHATEAU PICHON LALANDE,2009,75cl,Bordeaux,140.0,0,Joanne
200,CHATEAU PICHON LALANDE,2008,75cl,Bordeaux,89.0,0,Joanne
