,Wine,Vintage,Format,Region,Cost,Qty,Negoce
147,CH. LAFITE ROTHSCHILD,2005,600cl,Bordeaux,7300.0,0,Dubos
148,CH. LAFITE ROTHSCHILD,2006,600cl,Bordeaux,5950.0,0,Dubos
149,CH. MARGAUX,2007,600cl,Bordeaux,3000.0,0,Dubos
150,CH. LEOVILLE LAS CASES,2010,600cl,Bordeaux,1720.0,0,Dubos
151,CH. LAFITE ROTHSCHILD,2012,600cl,Bordeaux,3350.0,0,Dubos
152,CH. MOUTON ROTHSCHILD,2012,600cl,Bordeaux,2950.0,0,Dubos
153,CH. LEOVILLE LAS CASES,2012,600cl,Bordeaux,940.0,0,Dubos
154,CH. LEOVILLE POYFERRE,2012,600cl,Bordeaux,460.0,0,Dubos
155,CH. MOUTON ROTHSCHILD,2013,600cl,Bordeaux,2550.0,0,Dubos
156,CH. PEDESCLAUX,2013,600cl,Bordeaux,198.0,0,Dubos
157,CH. RAUZAN SEGLA,2013,600cl,Bordeaux,350.0,0,Dubos
158,CH. SIRAN,2013,600cl,Bordeaux,165.0,0,Dubos
159,CH. LA TOUR CARNET,2013,600cl,Bordeaux,225.0,0,Dubos
160,CH. FIGEAC,2013,600cl,Bordeaux,525.0,0,Dubos
161,CH. TAILLEFER,2013,600cl,Bordeaux,155.0,0,Dubos
162,ALMAVIVA,2013,600cl,Puente Alto,825.0,0,Dubos
163,CH. MOUTON ROTHSCHILD,1999,300cl,Bordeaux,3380.0,0,Dubos
164,CH. CLERC MILON,2002,300cl,Bordeaux,450.0,0,Dubos
165,CH. MARGAUX,2010,300cl,Bordeaux,4700.0,0,Dubos
166,CH. GRAND PUY LACOSTE,2012,300cl,Bordeaux,295.0,0,Dubos
167,CH. MOUTON ROTHSCHILD,2012,300cl,Bordeaux,2450.0,0,Dubos
168,CH. LEOVILLE LAS CASES,2012,300cl,Bordeaux,780.0,0,Dubos
169,CH. LEOVILLE POYFERRE,2012,300cl,Bordeaux,365.0,0,Dubos
170,CH. MOUTON ROTHSCHILD,2013,300cl,Bordeaux,2150.0,0,Dubos
171,CH. PEDESCLAUX,2013,300cl,Bordeaux,165.0,0,Dubos
172,CH. RAUZAN SEGLA,2013,300cl,Bordeaux,275.0,0,Dubos
173,CH. LA TOUR CARNET,2013,300cl,Bordeaux,165.0,0,Dubos
174,CH. CLINET,1985,150cl,Bordeaux,365.0,0,Dubos
175,CH. FIGEAC,1993,150cl,Bordeaux,195.0,0,Dubos
176,CH. MOUTON ROTHSCHILD,1994,150cl,Bordeaux,700.0,0,Dubos
