,Item Code,Item Name,Stock ,Unit,Trade,Format,RATING,SCORES
588,RF1LEO0211899-CD-WSL,"Leoville Barton - St. Julien 1899 (CD, WSL)",2,BOTTLE,"$12,900 ",750ML,,
589,RF1LEO0211949-LD,Leoville Barton - St. Julien 1949 (Label Damage),1,BOTTLE,"$9,600 ",750ML,WA,95
590,RF1LEO0211982-A,Leoville Barton - St. Julien 1982 (US Label),4,BOTTLE,"$1,850 ",750ML,WA,90+
591,RF1LEO0211985,Leoville Barton - St. Julien 1985,1,BOTTLE,"$1,090 ",750ML,WA,92
592,RF1LEO0211990,Leoville Barton - St. Julien 1990,2,BOTTLE,"$1,450 ",750ML,WA,93+
593,RF1LEO0212010,Leoville Barton - St. Julien 2010,11,BOTTLE,$795 ,750ML,WA,96
594,RF1LEO0222010,Leoville Barton - St. Julien 2010,3,BOTTLE,"$1,600 ",1.5L,WA,96+
595,RF1LEO0222010-OWC6,Leoville Barton - St. Julien 2010 (owc6),6,BOTTLE,"$1,600 ",1.5L,WA,96+
596,RF1LEO0232012,Leoville Barton - St. Julien 2012,24,BOTTLE,$290 ,375ML,,
597,RF1LEO0242010-OWC1,Leoville Barton - St. Julien 2010 (owc1),1,BOTTLE,"$3,300 ",3L,WA,96+
598,RF1LEO0311928-RCON,Leoville Poyferre - St. Julien 1928 (Re-conditioned),4,BOTTLE,"$4,900 ",750ML,,
599,RF1LEO0311929-RCON,Leoville Poyferre - St. Julien 1929 (Re-conditioned),3,BOTTLE,"$4,980 ",750ML,,
600,RF1LEO0311929-RCON-CC,Leoville Poyferre - St. Julien 1929 (Re-conditioned) (CC),1,BOTTLE,"$4,950 ",750ML,,
601,RF1LEO0311929-RCON-CD,Leoville Poyferre - St. Julien 1929 (Re-conditioned) (CD),1,BOTTLE,"$4,950 ",750ML,,
602,RF1LEO0311959-NL,Leoville Poyferre - St. Julien 1959 (No Label),1,BOTTLE,"$3,800 ",750ML,,
603,RF1LEO0311961,Leoville Poyferre - St. Julien 1961,5,BOTTLE,"$4,980 ",750ML,WA,87
604,RF1LEO0311985,Leoville Poyferre - St. Julien 1985,2,BOTTLE,$980 ,750ML,WS,92
605,RF1LEO0311990-LD,Leoville Poyferre - St. Julien 1990 (Label Damage),5,BOTTLE,"$2,390 ",750ML,WA,97
606,RF1LEO0311995,Leoville Poyferre - St. Julien 1995,8,BOTTLE,$890 ,750ML,WS,92
607,RF1LEO0312000,Leoville Poyferre - St. Julien 2000,10,BOTTLE,"$1,390 ",750ML,WA,97
608,RF1LEO0312000-EX,Leoville Poyferre - St. Julien 2000 (ex-chateau),36,BOTTLE,"$1,490 ",750ML,WA,97
609,RF1LEO0312000-EX-OWC12,Leoville Poyferre - St. Julien 2000 (ex-chateau) (owc12),72,BOTTLE,"$1,490 ",750ML,WA,97
610,RF1LEO0312003,Leoville Poyferre - St. Julien 2003,20,BOTTLE,"$1,190 ",750ML,WA,96
611,RF1LEO0312003-OWC12,Leoville Poyferre - St. Julien 2003 (owc12),12,BOTTLE,"$1,190 ",750ML,WA,96
612,RF1LEO0312010,Leoville Poyferre - St. Julien 2010,14,BOTTLE,$890 ,750ML,WA,98+
613,RF1LEO0332003,Leoville Poyferre - St. Julien 2003,14,BOTTLE,$590 ,375ML,WA,96
614,RF1LEO0332010,Leoville Poyferre - St. Julien 2010,23,BOTTLE,$480 ,375ML,,
615,RF1LEO0332012,Leoville Poyferre - St. Julien 2012,24,BOTTLE,$290 ,375ML,,
616,RF1LYN0211989-A,Lynch Bages - Pauillac 1989 (US Label),12,BOTTLE,"$2,950 ",750ML,WA,99+
617,RF1LYN0212000,Lynch Bages - Pauillac 2000,6,BOTTLE,"$1,950 ",750ML,WA,97
618,RF1LYN0222010,Lynch Bages - Pauillac 2010,8,BOTTLE,"$1,980 ",1.5L,,
619,RF1LYN0222010-OWC6,Lynch Bages - Pauillac 2010 (owc6),18,BOTTLE,"$1,980 ",1.5L,,
620,RF1LYN0222012,Lynch Bages - Pauillac 2012,3,BOTTLE,"$1,390 ",1.5L,WS,92
621,RF1LYN0232007-EX,Lynch Bages - Pauillac 2007 (ex-chateau),100+,BOTTLE,$498 ,375ML,WA,88
622,RF1LYN0232010,Lynch Bages - Pauillac 2010,24,BOTTLE,$535 ,375ML,,
623,RF1LYN0232012,Lynch Bages - Pauillac 2012,21,BOTTLE,$365 ,375ML,WS,92
624,RF1LYN0242012-OWC1,Lynch Bages - Pauillac 2012 (owc1),1,BOTTLE,"$2,900 ",3L,WS,92
625,RF1LYN0262010-OWC1,Lynch Bages - Pauillac 2010 (owc1),1,BOTTLE,"$9,800 ",6L,,
626,RF1LYN0262012-OWC1,Lynch Bages - Pauillac 2012 (owc1),2,BOTTLE,"$5,900 ",6L,WS,92
627,RF1LYN0312005,Lynch Moussas - Pauillac 2005,16,BOTTLE,$330 ,750ML,,
628,RF1LYN0412010,Echo de Lynch Bages - Pauillac 2010,100+,BOTTLE,$298 ,750ML,WS,91
629,RF1LYN0422010-OWC6,Echo de Lynch Bages - Pauillac 2010 (owc6),12,BOTTLE,$750 ,1.5L,WS,91
630,RF1MAG0212011,Magdelaine - St. Emilion 2011,21,BOTTLE,$480 ,750ML,WS,91
631,RF1MAG0212011-OWC12,Magdelaine - St. Emilion 2011 (owc12),12,BOTTLE,$480 ,750ML,WS,91
632,RF1MAG0242009-OWC1,Magdelaine - St. Emilion 2009 (owc1),1,BOTTLE,"$2,600 ",3L,WA,94
633,RF1MAG0312000,Magrez Fombrauge - St. Emilion 2000 ,6,BOTTLE,"$1,490 ",750ML,,
634,RF1MAL0112005,Malescot St. Exupery - Margaux 2005,5,BOTTLE,$950 ,750ML,,
635,RF1MAL0112010,Malescot St. Exupery - Margaux 2010,2,BOTTLE,$565 ,750ML,WA,95
636,RF1MAL0122010,Malescot St. Exupery - Margaux 2010,12,BOTTLE,"$1,190 ",1.5L,WA,95
637,RF1MAL0132010,Malescot St. Exupery - Margaux 2010,9,BOTTLE,$298 ,375ML,WA,95
638,RF1MAL0142010-OWC1,Malescot St. Exupery - Margaux 2010 (owc1),1,BOTTLE,"$2,500 ",3L,WA,95
639,RF1MAL0162010-OWC1,Malescot St. Exupery - Margaux 2010 (owc1),2,BOTTLE,"$4,980 ",6L,WA,95
640,RF1MAL0212002,Malartic Lagraviere - Pessac Leognan 2002,16,BOTTLE,$350 ,750ML,,
641,RF1MAL0212012,Malartic Lagraviere - Pessac Leognan 2012,93,BOTTLE,$250 ,750ML,,
642,RF1MAR0111870-RC,Margaux - Margaux 1870 (Recorked in 1950s),1,BOTTLE,"$198,000 ",750ML,WS,89
643,RF1MAR0111887-P,Margaux - Margaux 1887 (Glamis Castle),2,BOTTLE,"$180,000 ",750ML,WS,81
644,RF1MAR0111887-RC,Margaux - Margaux 1887 (Recorked in 1950s),1,BOTTLE,"$180,000 ",750ML,WS,81
645,RF1MAR0111893-P,Margaux - Margaux 1893 (Woodperry House),2,BOTTLE,"$180,000 ",750ML,WS,95
646,RF1MAR0111899-LL,Margaux - Margaux 1899 (Low Level),1,BOTTLE,"$150,000 ",750ML,WS,94
647,RF1MAR0111899-LL-NL,Margaux - Margaux 1899 (Low Level)(No Label),1,BOTTLE,"$69,000 ",750ML,WS,94
648,RF1MAR0111899-P,Margaux - Margaux 1899 (Woodperry House),1,BOTTLE,"$190,000 ",750ML,WS,94
649,RF1MAR0111900,Margaux - Margaux 1900,1,BOTTLE,"$198,000 ",750ML,WA,100
650,RF1MAR0111921,Margaux - Margaux 1921,1,BOTTLE,"$18,000 ",750ML,,
651,RF1MAR0111928,Margaux - Margaux 1928,1,BOTTLE,"$16,900 ",750ML,,
652,RF1MAR0111929-RCON,Margaux - Margaux 1929 (Reconditioned),1,BOTTLE,"$25,900 ",750ML,WS,83
653,RF1MAR0111953,Margaux - Margaux 1953,2,BOTTLE,"$11,900 ",750ML,,
654,RF1MAR0111959,Margaux - Margaux 1959,1,BOTTLE,"$13,900 ",750ML,WS,93
655,RF1MAR0111959-RCON,Margaux - Margaux 1959 (Reconditioned),4,BOTTLE,"$13,900 ",750ML,WS,93
656,RF1MAR0111978,Margaux - Margaux 1978,4,BOTTLE,"$2,900 ",750ML,,
657,RF1MAR0111978-CD,Margaux - Margaux 1978 (Capsule Damage),1,BOTTLE,"$2,800 ",750ML,,
658,RF1MAR0111982,Margaux - Margaux 1982,4,BOTTLE,"$7,950 ",750ML,WA,98
659,RF1MAR0111985-OWC12,Margaux - Margaux 1985 (owc12),12,BOTTLE,"$4,500 ",750ML,WA,95
660,RF1MAR0111986-OWC12,Margaux - Margaux 1986 (owc12),12,BOTTLE,"$4,500 ",750ML,WA,98
661,RF1MAR0111990,Margaux - Margaux 1990,5,BOTTLE,"$7,600 ",750ML,WA,100
662,RF1MAR0111995-OWC12,Margaux - Margaux 1995 (owc12),12,BOTTLE,"$3,950 ",750ML,WS,100
663,RF1MAR0112004,Margaux - Margaux 2004,2,BOTTLE,"$3,350 ",750ML,WS,93
664,RF1MAR0112004-OWC6,Margaux - Margaux 2004 (owc6),6,BOTTLE,"$3,350 ",750ML,WS,93
665,RF1MAR0112009,Margaux - Margaux 2009,19,BOTTLE,"$5,300 ",750ML,WA,99
666,RF1MAR0112009-OWC6,Margaux - Margaux 2009 (owc6),6,BOTTLE,"$5,300 ",750ML,WA,99
667,RF1MAR0112010,Margaux - Margaux 2010,21,BOTTLE,"$5,300 ",750ML,WA,99
668,RF1MAR0112013,Margaux - Margaux 2013 ,100+,BOTTLE,"$2,800 ",750ML,,
669,RF1MAR0121996,Margaux - Margaux 1996,2,BOTTLE,"$9,900 ",1.5L,WA,99
670,RF1MAR0122012,Margaux - Margaux 2012,6,BOTTLE,"$5,950 ",1.5L,WA,95
671,RF1MAR0132010,Margaux - Margaux 2010,12,BOTTLE,"$2,650 ",375ML,WA,99
