,Wine,Vintage,Format,Region,Cost,Qty,Negoce
197,CH. CANTEMERLE,2012,75cl,Bordeaux,18.0,0,DIVA
198,CH. CAP DE MOURLIN,2012,75cl,Bordeaux,15.0,0,DIVA
199,CH. CARONNE SAINTE GEMME,2012,75cl,Bordeaux,8.0,0,DIVA
200,CH. CHEVAL BLANC,2012,75cl,Bordeaux,345.0,0,DIVA
201,CH. CLOS DE SARPE,2012,75cl,Bordeaux,48.0,0,DIVA
202,CH. COS D'ESTOURNEL,2012,75cl,Bordeaux,89.0,0,DIVA
203,CH. COUTET,2012,75cl,Bordeaux,31.2,0,DIVA
204,CH. CROIZET BAGES,2012,75cl,Bordeaux,20.4,0,DIVA
205,CH. DUCRU BEAUCAILLOU,2012,75cl,Bordeaux,80.0,0,DIVA
206,CH. DUHART MILON ROTHSCHILD,2012,75cl,Bordeaux,53.0,0,DIVA
207,CH. FLEUR DE BOUARD (LA),2012,75cl,Bordeaux,21.6,0,DIVA
208,CH. FLEUR DE GAY (LA),2012,75cl,Bordeaux,55.0,0,DIVA
209,CH. FLEUR MORANGE (LA),2012,75cl,Bordeaux,45.0,0,DIVA
210,CH. FOMBRAUGE,2012,75cl,Bordeaux,14.3,0,DIVA
211,CH. FOMBRAUGE,2012,75cl,Bordeaux,14.3,0,DIVA
212,CH. FOMBRAUGE,2012,75cl,Bordeaux,14.3,0,DIVA
213,CH. FONBEL (DE),2012,75cl,Bordeaux,9.8,0,DIVA
214,CH. FONROQUE,2012,75cl,Bordeaux,15.0,0,DIVA
215,CH. GAY (LE),2012,75cl,Bordeaux,65.0,0,DIVA
216,CH. GRACIA,2012,75cl,Bordeaux,72.0,0,DIVA
217,CH. GRAND PUY DUCASSE,2012,75cl,Bordeaux,26.0,0,DIVA
218,CH. GRAND PUY LACOSTE,2012,75cl,Bordeaux,33.0,0,DIVA
219,CH. GRANDES MURAILLES (LES),2012,75cl,Bordeaux,28.0,0,DIVA
220,CH. GUIRAUD,2012,75cl,Bordeaux,30.0,0,DIVA
221,CH. HAUT BAILLY,2012,75cl,Bordeaux,62.0,0,DIVA
222,CH. HAUT BATAILLEY,2012,75cl,Bordeaux,25.0,0,DIVA
223,CH. HAUT BRION BLANC,2012,75cl,Bordeaux,600.0,0,DIVA
224,CH. HAUT BRION ROUGE,2012,75cl,Bordeaux,330.0,0,DIVA
225,CH. HAUT MARBUZET,2012,75cl,Bordeaux,22.0,0,DIVA
226,CH. LAGRANGE,2012,75cl,Bordeaux,24.0,0,DIVA
227,CH. LALANDE BORIE,2012,75cl,Bordeaux,15.0,0,DIVA
228,CH. LANESSAN,2012,75cl,Bordeaux,9.0,0,DIVA
229,CH. LANGOA BARTON,2012,75cl,Bordeaux,30.5,0,DIVA
230,CH. LANGOA BARTON,2012,75cl,Bordeaux,30.5,0,DIVA
231,CH. MALARTIC LAGRAVIERE BLANC,2012,75cl,Bordeaux,35.5,0,DIVA
232,CH. MALESCOT SAINT EXUPERY,2012,75cl,Bordeaux,33.0,0,DIVA
233,CH. MISSION HAUT BRION BLANC (LA),2012,75cl,Bordeaux,485.0,0,DIVA
234,CH. MISSION HAUT BRION ROUGE (LA),2012,75cl,Bordeaux,160.0,0,DIVA
235,CH. MONTROSE,2012,75cl,Bordeaux,58.0,0,DIVA
236,CH. NENIN,2012,75cl,Bordeaux,31.0,0,DIVA
237,CH. PALMER,2012,75cl,Bordeaux,179.0,0,DIVA
238,CH. PAPE CLEMENT ROUGE,2012,75cl,Bordeaux,65.0,0,DIVA
239,CH. PONTET CANET,2012,75cl,Bordeaux,66.0,0,DIVA
240,CH. POTENSAC,2012,75cl,Bordeaux,12.6,0,DIVA
241,CH. QUINAULT L'ENCLOS,2012,75cl,Bordeaux,19.2,0,DIVA
242,CH. QUINTUS,2012,75cl,Bordeaux,71.5,0,DIVA
243,CH. SENEJAC,2012,75cl,Bordeaux,7.8,0,DIVA
244,CH. SIAURAC,2012,75cl,Bordeaux,9.0,0,DIVA
245,CH. TEYSSIER,2012,75cl,Bordeaux,10.0,0,DIVA
246,CH. TRONQUOY LALANDE,2012,75cl,Bordeaux,18.0,0,DIVA
247,CH. TROPLONG MONDOT,2012,75cl,Bordeaux,59.0,0,DIVA
248,CH. VAL DE ROC,2012,75cl,Bordeaux,5.35,0,DIVA
249,CHAPELLE D'AUSONE,2012,75cl,Bordeaux,125.0,0,DIVA
250,CHAPELLE DE LA MISSION HAUT BRION (LA),2012,75cl,Bordeaux,36.0,0,DIVA
251,CLOS FLORIDENE ROUGE,2012,75cl,Bordeaux,10.2,0,DIVA
252,CLOS L'EGLISE,2012,75cl,Bordeaux,44.0,0,DIVA
253,CLOS SAINT MARTIN,2012,75cl,Bordeaux,30.0,0,DIVA
254,DAME DE MONTROSE (LA),2012,75cl,Bordeaux,21.0,0,DIVA
255,DAUPHIN D'OLIVIER (LE),2012,75cl,Bordeaux,9.75,0,DIVA
256,DOME (LE),2012,75cl,Bordeaux,71.0,0,DIVA
257,DRAGON DE QUINTUS (LE),2012,75cl,Bordeaux,17.5,0,DIVA
258,DULUC DE BRANAIRE,2012,75cl,Bordeaux,15.5,0,DIVA
259,ECHO DE LYNCH BAGES,2012,75cl,Bordeaux,22.9,0,DIVA
260,FIEFS DE LAGRANGE (LES),2012,75cl,Bordeaux,14.0,0,DIVA
261,HAUT MEDOC DE CH. GISCOURS (LE),2012,75cl,Bordeaux,11.0,0,DIVA
262,MAROJALLIA,2012,75cl,Bordeaux,33.8,0,DIVA
263,MARQUIS DE CALON (LE),2012,75cl,Bordeaux,13.2,0,DIVA
264,PAGODES DE COS (LES),2012,75cl,Bordeaux,27.2,0,DIVA
265,PAVILLON BLANC DU CHATEAU MARGAUX,2012,75cl,Bordeaux,155.0,0,DIVA
266,PAVILLON ROUGE DU CHATEAU MARGAUX,2012,75cl,Bordeaux,116.0,0,DIVA
267,PETIT CHEVAL (LE),2012,75cl,Bordeaux,110.0,0,DIVA
268,VIEUX CHÂTEAU CERTAN,2012,75cl,Bordeaux,135.0,0,DIVA
269,VIEUX CHÂTEAU SAINT ANDRE,2012,75cl,Bordeaux,8.55,0,DIVA
270,Y D'YQUEM,2012,75cl,Bordeaux,110.0,0,DIVA
271,AILE D'ARGENT,2013,75cl,Bordeaux,48.0,0,DIVA
272,ALTER EGO DE PALMER,2013,75cl,Bordeaux,38.5,0,DIVA
273,ALTER EGO DE PALMER,2013,75cl,Bordeaux,38.5,0,DIVA
274,BRIO DE CANTENAC BROWN,2013,75cl,Bordeaux,14.5,0,DIVA
275,CARMES DE RIEUSSEC,2013,75cl,Bordeaux,14.5,0,DIVA
276,CH. AIGUILHE (D'),2013,75cl,Bordeaux,11.8,0,DIVA
277,CH. BEAUREGARD,2013,75cl,Bordeaux,21.6,0,DIVA
278,CH. BEAUSEJOUR DUFFAU,2013,75cl,Bordeaux,48.0,0,DIVA
279,CH. BOUSCAUT BLANC,2013,75cl,Bordeaux,19.7,0,DIVA
280,CH. BOUSCAUT ROUGE,2013,75cl,Bordeaux,15.0,0,DIVA
281,CH. BRANAIRE DUCRU,2013,75cl,Bordeaux,24.9,0,DIVA
282,CH. BRANON,2013,75cl,Bordeaux,39.9,0,DIVA
283,CH. CAMBON LA PELOUSE,2013,75cl,Bordeaux,9.0,0,DIVA
284,CH. CANON LA GAFFELIERE,2013,75cl,Bordeaux,37.15,0,DIVA
285,CH. CANTEMERLE,2013,75cl,Bordeaux,16.9,0,DIVA
286,CH. CANTENAC,2013,75cl,Bordeaux,8.3,0,DIVA
287,CH. CANTENAC BROWN,2013,75cl,Bordeaux,24.0,0,DIVA
288,CH. CAP DE FAUGERES,2013,75cl,Bordeaux,7.0,0,DIVA
289,CH. CARONNE SAINTE GEMME,2013,75cl,Bordeaux,7.2,0,DIVA
290,CH. CHEVAL BLANC,2013,75cl,Bordeaux,300.0,0,DIVA
291,CH. CHEVAL BLANC,2013,75cl,Bordeaux,300.0,0,DIVA
292,CH. CONSEILLANTE (LA),2013,75cl,Bordeaux,57.0,0,DIVA
293,CH. COS D'ESTOURNEL,2013,75cl,Bordeaux,81.5,0,DIVA
294,CH. COTE DE BALEAU,2013,75cl,Bordeaux,12.6,0,DIVA
295,CH. COUTET,2013,75cl,Bordeaux,24.0,0,DIVA
296,CH. DALEM,2013,75cl,Bordeaux,10.7,0,DIVA
297,CH. DASSAULT,2013,75cl,Bordeaux,18.0,0,DIVA
298,CH. DASSAULT,2013,75cl,Bordeaux,18.0,0,DIVA
299,CH. DESMIRAIL,2013,75cl,Bordeaux,17.4,0,DIVA
300,CH. DUHART MILON ROTHSCHILD,2013,75cl,Bordeaux,48.0,0,DIVA
301,CH. EVANGILE (L'),2013,75cl,Bordeaux,100.0,0,DIVA
302,CH. FAUGERES,2013,75cl,Bordeaux,19.2,0,DIVA
