,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
807,807,CFW00044-2009-00750,Croix de Beaucaillou,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Ducru Beaucaillou,宝嘉龙酒庄,"St. Julien, Bordeaux",波爾多,France,法國,,2009,750ml,40.0,78,BM
808,808,CFW00017-2007-01500,Chateau Rauzan Segla,魯臣世家庄园正牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Rauzan Segla,魯臣世家庄园,"Margaux, Bordeaux",波爾多,France,法國,,2007,1500ml,95.0,78,BM
809,809,CFW00234-2014-01500,Chateau Valandraud,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,Chateau Valandraud,,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,1500ml,168.0,78,BM
810,810,CFW00307-2011-01500,La Petite Eglise,,,Red,紅酒,Chateau Eglise Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2011,1500ml,50.0,79,BM
811,811,CFW00432-2011-00750,Chateau Petit Bocq,,Cru Bourgeois Superieur,Red,紅酒,Chateau Petit Bocq,,"St. Estephe, Bordeaux",波爾多,France,法國,,2011,750ml,13.3,80,BM
812,812,CFW00219-2005-00750,Chateau Cheval Blanc,白马正牌,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Cheval Blanc,白马,"St. Emilion, Bordeaux",波爾多,France,法國,,2005,750ml,660.0,81,BM
813,813,CFW00143-2012-01500,Chateau du Tertre,,Bordeaux Grand Cru Classe 5th Growths,Red,紅酒,Chateau Du Tertre,,"Margaux, Bordeaux",波爾多,France,法國,,2012,1500ml,62.0,81,BM
814,814,CFW00339-2014-00375,Chateau Climens,,Sauternes Premiers Crus,Sweet,甜酒,Chateau Climens,,"Sauternes, Bordeaux",波爾多,France,法國,,2014,375ml,21.9,84,BM
815,815,CFW01934-2013-00375,Petit Guiraud,,,Sweet,甜酒,Chateau Guiraud,,"Sauternes, Bordeaux",波爾多,France,法國,,2013,375ml,6.6,84,BM
816,816,CFW00311-2010-00750,Chateau La Croix de Gay,,,Red,紅酒,Chateau La Croix de Gay,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2010,750ml,35.0,84,BM
817,817,CFW00284-2014-00750,Chateau Pavie Decesse,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Pavie Decesse,,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,750ml,78.0,84,BM
818,818,CFW00307-2013-01500,La Petite Eglise,,,Red,紅酒,Chateau Eglise Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2013,1500ml,42.0,84,BM
819,819,CFW00080-2012-00750,Chateau La Lagune,,Bordeaux Grand Cru Classe 3rd Growths,Red,紅酒,Chateau La Lagune,,"Haut Medoc, Bordeaux",波爾多,France,法國,,2012,750ml,34.8,87,BM
820,820,CFW00217-2012-00750,Chateau Angelus,金鐘,St. Emilion Premier Grand Cru Classe A,Red,紅酒,Chateau Angelus,金鐘酒莊,"St. Emilion, Bordeaux",波爾多,France,法國,,2012,750ml,315.0,88,BM
821,821,CFW00239-2007-00750,Chateau Bellevue,,St. Emilion Grand Cru Classe,Red,紅酒,Chateau Bellevue,,"St. Emilion, Bordeaux",波爾多,France,法國,,2007,750ml,30.0,88,BM
822,822,CFW00359-2013-00750,Chateau Haut Marbuzet,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Haut Marbuzet,,"St. Estephe, Bordeaux",波爾多,France,法國,,2013,750ml,21.0,90,BM
823,823,CFW00306-2011-00750,Chateau L'Eglise Clinet,,,Red,紅酒,Chateau Eglise Clinet,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2011,750ml,125.0,90,BM
824,824,CFW01944-2014-00750,Clos des Lunes Lune d'Or,,,White,白酒,Clos des Lunes,,"Sauternes, Bordeaux",波爾多,France,法國,,2014,750ml,30.0,90,BM
825,825,CFW00852-2014-00750,Chateau Girolate Blanc,,,White,白酒,Chateau Girolate,,Bordeaux,波爾多,France,法國,,2014,750ml,25.0,90,BM
826,826,CFW00042-2009-00750,Reserve de la Comtesse,碧尚女爵副牌,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Pichon Comtesse de Lalande,碧尚女爵,"Pauillac, Bordeaux",波爾多,France,法國,,2009,750ml,37.25,90,BM
827,827,CFW00030-2014-01500,Chateau Gruaud Larose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Gruaud Larose,金玫瑰城堡,"St. Julien, Bordeaux",波爾多,France,法國,,2014,1500ml,84.0,90,BM
