,Wine,Vintage,Format,Cost,Qty,Negoce
194,SMITH HAUT LAFITTE ROUGE ,2014,750ml,58.0,180,Clarence Dillon
195,SOCIANDO-MALLET,2003,750ml,45.0,3,Clarence Dillon
196,SUDUIRAUT,2003,750ml,42.0,8,Clarence Dillon
197,SUDUIRAUT,2011,750ml,45.0,114,Clarence Dillon
198,SUDUIRAUT,2013,750ml,42.0,216,Clarence Dillon
199,SUDUIRAUT,2014,750ml,42.0,108,Clarence Dillon
200,TAILLAN (du) ,2010,750ml,9.4,527,Clarence Dillon
201,TALBOT ,2013,750ml,35.0,18,Clarence Dillon
202,TALBOT ,2014,750ml,40.0,114,Clarence Dillon
203,TERTRE (du),2010,750ml,37.5,84,Clarence Dillon
204,TOUR DE MONS (la),2010,750ml,21.0,93,Clarence Dillon
205,TOUR DE MONS (la),2012,750ml,15.5,360,Clarence Dillon
206,TOUR DE MONS (la),2014,750ml,14.5,300,Clarence Dillon
207,VALANDRAUD,2006,750ml,125.0,12,Clarence Dillon
208,VIEUX CHÂTEAU CERTAN,1999,750ml,110.0,4,Clarence Dillon
209,VIEUX CHÂTEAU CERTAN,2002,750ml,95.0,12,Clarence Dillon
210,VIEUX CHÂTEAU CERTAN,2004,750ml,110.0,39,Clarence Dillon
211,Y d'YQUEM ,2015,750ml,92.0,174,Clarence Dillon
212,Y d'YQUEM ,2015,750ml,92.0,120,Clarence Dillon
213,YQUEM,1991,750ml,186.0,1,Clarence Dillon
214,YQUEM,1995,750ml,186.0,71,Clarence Dillon
215,YQUEM,1999,750ml,189.0,8,Clarence Dillon
216,YQUEM,2008,750ml,189.0,38,Clarence Dillon
217,YQUEM,2011,750ml,250.0,59,Clarence Dillon
218,YQUEM ,2013,750ml,250.0,59,Clarence Dillon
219,YQUEM ,2014,750ml,250.0,246,Clarence Dillon
220,AILE D'ARGENT ,2012,750ml,48.0,102,Clarence Dillon
221,AILE D'ARGENT ,2013,750ml,48.0,82,Clarence Dillon
222,AILE D'ARGENT ,2014,750ml,48.0,180,Clarence Dillon
223,BEYCHEVELLE ,2005,750ml,96.0,6,Clarence Dillon
224,CALON SEGUR,2000,750ml,100.0,180,Clarence Dillon
225,CALON-SEGUR,2005,750ml,89.0,60,Clarence Dillon
226,CALON-SEGUR,2006,750ml,79.0,60,Clarence Dillon
227,CALON-SEGUR,2010,750ml,87.0,6,Clarence Dillon
228,CALON-SEGUR,2011,750ml,73.0,108,Clarence Dillon
229,CAMENSAC,2009,750ml,24.9,59,Clarence Dillon
230,CANON ,2002,750ml,89.0,12,Clarence Dillon
231,CANON,2007,750ml,47.0,12,Clarence Dillon
232,CANON,2008,750ml,64.0,96,Clarence Dillon
233,CHASSE SPLEEN ,2010,750ml,34.5,120,Clarence Dillon
234,CHEVAL BLANC,2001,750ml,380.0,4,Clarence Dillon
235,CHEVAL BLANC,2010,750ml,890.0,12,Clarence Dillon
236,CHEVAL BLANC,2013,750ml,300.0,18,Clarence Dillon
237,CHEVAL BLANC,2014,750ml,360.0,6,Clarence Dillon
238,CLIMENS,2002,750ml,58.0,1,Clarence Dillon
239,CLOS FOURTET,1990,750ml,188.0,12,Clarence Dillon
240,CLOS FOURTET,2000,750ml,117.0,12,Clarence Dillon
241,CLOS FOURTET,2001,750ml,94.0,12,Clarence Dillon
242,CLOS FOURTET,2002,750ml,76.0,12,Clarence Dillon
243,CLOS FOURTET,2005,750ml,158.0,12,Clarence Dillon
244,CLOS FOURTET,2006,750ml,73.0,12,Clarence Dillon
245,CLOS DU MARQUIS,1995,750ml,52.0,240,Clarence Dillon
246,CLOS DU MARQUIS,2013,750ml,27.0,88,Clarence Dillon
247,CLOS DU MARQUIS,2014,750ml,33.0,78,Clarence Dillon
248,CONSEILLANTE (La) ,2007,750ml,73.0,24,Clarence Dillon
249,COS D'ESTOURNEL,2010,750ml,198.0,69,Clarence Dillon
250,COS D ESTOURNEL,2011,750ml,108.0,341,Clarence Dillon
251,COS D ESTOURNEL,2012,750ml,89.0,71,Clarence Dillon
252,COS D ESTOURNEL,2013,750ml,81.5,5,Clarence Dillon
253,COUSPAUDE (La) ,2005,750ml,43.0,24,Clarence Dillon
254,DOMAINE DE CHEVALIER ROUGE ,2008,750ml,45.0,10,Clarence Dillon
255,DOMAINE DE CHEVALIER ROUGE ,2010,750ml,60.0,26,Clarence Dillon
256,DOMAINE DE CHEVALIER ROUGE ,2011,750ml,40.0,168,Clarence Dillon
257,DOMAINE DE CHEVALIER ROUGE ,2012,750ml,40.0,84,Clarence Dillon
258,DOMAINE DE CHEVALIER ROUGE ,2014,750ml,42.5,358,Clarence Dillon
259,EVANGILE,2007,750ml,77.0,6,Clarence Dillon
260,FARGUES,2005,750ml,68.0,18,Clarence Dillon
261,FLEUR CARDINALE ,2015,750ml,26.0,228,Clarence Dillon
262,FUGUE DE NENIN,2003,750ml,23.0,260,Clarence Dillon
263,FUGUE DE NENIN,2013,750ml,14.5,64,Clarence Dillon
264,FUGUE DE NENIN,2014,750ml,15.9,240,Clarence Dillon
265,FOMBRAUGE ,2011,750ml,15.0,84,Clarence Dillon
266,FOMBRAUGE ,2013,750ml,14.04,216,Clarence Dillon
267,FOMBRAUGE ,2014,750ml,17.0,168,Clarence Dillon
268,FOURCAS DUPRE ,2006,750ml,8.5,12,Clarence Dillon
269,FOURCAS DUPRE ,2011,750ml,8.9,214,Clarence Dillon
270,GAFFELIERE (la) ,2011,750ml,45.0,102,Clarence Dillon
271,GAFFELIERE (la) ,2012,750ml,46.0,78,Clarence Dillon
272,GAFFELIERE (la) ,2013,750ml,42.0,90,Clarence Dillon
273,GAZIN,1995,750ml,82.0,12,Clarence Dillon
274,GAZIN,2004,750ml,54.0,18,Clarence Dillon
275,GAZIN,2007,750ml,49.5,12,Clarence Dillon
276,GISCOURS,2000,750ml,79.0,233,Clarence Dillon
277,GISCOURS,2001,750ml,55.0,8,Clarence Dillon
278,GISCOURS ,2010,750ml,54.0,120,Clarence Dillon
279,GISCOURS,2012,750ml,36.0,96,Clarence Dillon
280,GISCOURS,2013,750ml,33.0,48,Clarence Dillon
281,GLANA ,2012,750ml,15.1,262,Clarence Dillon
282,GLORIA,2000,750ml,52.9,149,Clarence Dillon
283,GLORIA,2013,750ml,19.8,167,Clarence Dillon
284,GLORIA,2014,750ml,21.0,72,Clarence Dillon
285,GRAND PUY DUCASSE ,1995,750ml,52.9,60,Clarence Dillon
286,GRAND PUY DUCASSE ,2005,750ml,47.0,168,Clarence Dillon
