,Wine,Vintage,Format,Cost,Qty,Negoce
231,MARGAUX,1997,5000ml,2210.0,6,Twins
232,PRIEURE LICHINE,1985,5000ml,455.0,6,Twins
233,PRIEURE LICHINE,1996,5000ml,325.0,6,Twins
234,TOUR FIGEAC,1995,5000ml,285.0,6,Twins
235,TOUR FIGEAC,1996,500ml,15.0,12,Twins
236,ALMAVIVA ,2012,6000ml,640.0,6,Twins
237,ALMAVIVA ,2013,6000ml,570.0,6,Twins
238,BEYCHEVELLE  ,1994,6000ml,590.0,6,Twins
239,BRANAIRE DUCRU,1990,6000ml,795.0,6,Twins
240,COUTET,2002,6000ml,200.0,6,Twins
241,GRAND MAYNE,1985,6000ml,420.0,6,Twins
242,GRAND MAYNE,1988,6000ml,420.0,6,Twins
243,GRAND PUY LACOSTE,1999,6000ml,560.0,6,Twins
244,HAUT BAILLY,1999,6000ml,610.0,6,Twins
245,HAUT BRION ex-château,2011,6000ml,2800.0,6,Twins
246,ISSAN,1996,6000ml,528.0,6,Twins
247,KIRWAN,2000,6000ml,540.0,6,Twins
248,LA CONSEILLANTE,1994,6000ml,600.0,6,Twins
249,LA LAGUNE ,1995,6000ml,420.0,6,Twins
250,LA VIOLETTE,2006,6000ml,1200.0,6,Twins
251,LA VIOLETTE,2007,6000ml,1080.0,6,Twins
252,LACOSTE BORIE,2005,6000ml,360.0,6,Twins
253,LE GAY,2006,6000ml,620.0,6,Twins
254,MALARTIC LAGRAVIERE,2004,6000ml,315.0,6,Twins
255,MALESCOT SAINT EXUPERY,2011,6000ml,260.0,6,Twins
256,MARGAUX,1993,6000ml,2835.0,6,Twins
257,MARGAUX,2011,6000ml,2880.0,6,Twins
258,PETIT CHEVAL,2008,6000ml,1160.0,6,Twins
259,PICHON LALANDE  ex-chateau,2003,6000ml,1070.0,6,Twins
260,TOUR FIGEAC,1995,6000ml,360.0,6,Twins
261,VIRGINIE DE VALANDRAUD,2005,6000ml,325.0,6,Twins
262,AILE D'ARGENT,2011,750ml,52.0,60,Twins
263,ALLEES DE CANTEMERLE,2013,750ml,8.95,60,Twins
264,ALLEES DE CANTEMERLE,2014,750ml,9.0,60,Twins
265,ALTER EGO DE PALMER,2013,750ml,39.0,60,Twins
266,ALTER EGO DE PALMER,2014,750ml,43.0,60,Twins
267,ANGELUS,2014,750ml,220.0,60,Twins
268,ARMAILHAC,1989,750ml,66.0,60,Twins
269,ARMAILHAC,2010,750ml,48.0,60,Twins
270,ASTERIES (LES),2008,750ml,48.0,60,Twins
271,ASTERIES (LES),2012,750ml,60.0,60,Twins
272,AUSONE,1996,750ml,425.0,60,Twins
273,AUSONE,2012,750ml,450.0,60,Twins
274,AUSONE,2014,750ml,570.0,60,Twins
275,BARDE HAUT,2002,750ml,15.9,60,Twins
276,BARDE HAUT,2004,750ml,15.6,60,Twins
277,BARDE HAUT,2008,750ml,18.0,60,Twins
278,BARON DE BRANE,2012,750ml,15.0,60,Twins
279,BARON DE BRANE,2013,750ml,13.8,60,Twins
280,BARON DE BRANE,2014,750ml,16.0,60,Twins
281,BEAUREGARD,2014,750ml,26.0,60,Twins
282,BEAUSEJOUR BECOT,2000,750ml,68.0,60,Twins
283,BEAUSEJOUR BECOT,2001,750ml,48.0,60,Twins
