,Wine,Vintage,Format,Cost,Qty,Negoce
315,Dominique (la),2013,750ml,25.0,162,CVBG
316,L'Aventure - Optimus,2014,750ml,33.0,162,CVBG
317,Clos Apalta,2011,750ml,60.0,162,CVBG
318,Solaia,2011,750ml,130.0,162,CVBG
319,Fourcas Dupré,2012,1500ml,17.3,162,CVBG
320,Sénéjac,2012,375ml,3.95,168,CVBG
321,Malartic Lagravière blanc,2012,750ml,34.8,168,CVBG
322,Corbin,2013,750ml,16.2,168,CVBG
323,Moulin Saint-Georges,2011,750ml,20.0,174,CVBG
324,G de Guiraud,2016,750ml,7.6,18,CVBG
325,R de Rieussec,2014,750ml,12.0,18,CVBG
326,Lafite Rothschild,2013,750ml,460.0,18,CVBG
327,Latour,2007,750ml,410.0,18,CVBG
328,Latour,2004,750ml,450.0,18,CVBG
329,Latour,2000,750ml,820.0,18,CVBG
330,Haut Brion,2008,750ml,375.0,18,CVBG
331,Fleur Petrus,2010,750ml,215.0,18,CVBG
332,Hosanna,2004,750ml,89.0,18,CVBG
333,Trotanoy,2012,750ml,175.0,18,CVBG
334,Ausone,2011,750ml,590.0,18,CVBG
335,Péby Faugères,2013,750ml,60.0,18,CVBG
336,Cos d'Estournel,2012,750ml,94.0,18,CVBG
337,Léoville Las Cases,1983,750ml,180.0,18,CVBG
338,Vérité - La Joie,2013,750ml,250.0,18,CVBG
339,Vérité - La Muse,2013,750ml,250.0,18,CVBG
340,Vérité - Le Désir,2013,750ml,250.0,18,CVBG
341,Hommage à Jacques Perrin,2013,750ml,250.0,18,CVBG
342,Hommage à Jacques Perrin,2010,750ml,335.0,18,CVBG
343,Belgrave,1995,1500ml,90.0,18,CVBG
344,Malescot Saint Exupery,2012,1500ml,68.0,18,CVBG
345,Domaine de Chevalier rouge,2014,1500ml,80.0,18,CVBG
346,Tour Figeac,2006,1500ml,80.0,18,CVBG
347,Cos d'Estournel,2014,1500ml,190.0,18,CVBG
348,Sarget de Gruaud Larose,2014,1500ml,38.0,18,CVBG
349,Sena,2014,1500ml,150.0,18,CVBG
350,Ausone,2007,3000ml,2200.0,18,CVBG
351,Pavie Macquin,2014,3000ml,198.0,18,CVBG
352,Dauphine (la),2014,750ml,10.8,180,CVBG
353,Margaux,2013,750ml,345.0,180,CVBG
