,ID,Wine,Year,Region English,Region Chinese,Formats,Negoces,Price,Markup Percentile,Markup Price,WS Merchants,WS Prices,Recommended Prices,Margin,Sell,Date,Qty,English Type,Chinese Type,English Vendor,Chinese Vendor,Rating
565,CFW00246-2011-00750,Chateau La Clotte,2011,"St. Emilion, Bordeaux",波爾多,750ml,RCA,224.48,5%,330.91,N/A,N/A,330,106,N/A,2017-08-01 08:05,120,Red,紅酒,Chateau La Clotte,N/A,N/A
566,CFW01808-2009-00750,Chateau Mission Haut Brion,2009,"Pessac Leognan, Bordeaux",波爾多,750ml,Twins,4810.31,5%,5530.82,N/A,N/A,5530,721,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Mission Haut Brion,N/A,N/A
567,CFW00954-2016-00750,Chateau Mont Perat Blanc,2016,Bordeaux,波爾多,750ml,RCA,63.22,5%,148.05,N/A,N/A,148.05,85,N/A,2017-08-01 08:05,1200,White,白酒,Chateau Mont Perat,N/A,N/A
568,CFW00032-2010-00750,Chateau Lascombes,2010,"Margaux, Bordeaux","瑪歌, 波爾多",750ml,BM,714.67,5%,886.74,N/A,N/A,885,172,N/A,2017-08-01 08:05,114,Red,紅酒,Chateau Lascombes,力士金酒莊,N/A
569,CFW00014-2012-01500,Chateau Mouton Rothschild,2012,"Pauillac, Bordeaux",波爾多,1500ml,CVBG,6230.50,5%,7141.19,N/A,N/A,7140,911,N/A,2017-08-01 08:05,6,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,N/A
570,CFW00134-2005-00750,Chateau Lynch Bages,2005,"Pauillac, Bordeaux",波爾多,750ml,Twins,1328.56,5%,1582.84,N/A,N/A,1580,254,N/A,2017-08-01 08:05,60,Red,紅酒,Chateau Lynch Bages,都卡斯庄园,N/A
571,CFW00603-2013-00750,Chateau Mont Perat Rouge,2013,Bordeaux,波爾多,750ml,RCA,84.29,5%,171.95,N/A,N/A,171.95,88,N/A,2017-08-01 08:05,900,Red,紅酒,Chateau Mont Perat,N/A,N/A
572,CFW00019-2011-05000,Chateau Rauzan Gassies,2011,"Margaux, Bordeaux","瑪歌, 波爾多",5000ml,RCA,3115.25,5%,3608.78,N/A,N/A,3608,494,N/A,2017-08-01 08:05,2,Red,紅酒,Chateau Rauzan Gassies,路仙歌庄园,N/A
573,CFW00263-2012-00750,Chateau Fonplegade,2012,"St. Emilion, Bordeaux",波爾多,750ml,BM,229.06,5%,336.10,N/A,N/A,335,107,N/A,2017-08-01 08:05,600,Red,紅酒,Chateau Fonplegade,N/A,N/A
574,CFW00207-2014-01500,Chateau Pape Clement Rouge,2014,"Pessac Leognan, Bordeaux",波爾多,1500ml,CVBG,1099.50,5%,1323.10,N/A,N/A,1320,224,N/A,2017-08-01 08:05,12,Red,紅酒,Chateau Pape Clement,N/A,N/A
575,CFW00330-2011-01500,Chateau d'Yquem,2011,"Sauternes, Bordeaux",波爾多,1500ml,BM,4581.25,5%,5271.09,N/A,N/A,5270,690,N/A,2017-08-01 08:05,117,Sweet,甜酒,Chateau d'Yquem,N/A,N/A
576,CFW00887-2014-00750,Chateau La Freynelle Cuvee Cabernet Sauvignon,2014,Bordeaux,波爾多,750ml,RCA,41.23,5%,123.12,N/A,N/A,123.12,82,N/A,2017-08-01 08:05,6000,Red,紅酒,Chateau La Freynelle,N/A,N/A
577,CFW00220-2000-00750,Chateau Pavie,2000,"St. Emilion, Bordeaux",波爾多,750ml,RCA,5451.69,5%,6258.09,N/A,N/A,6258,806,N/A,2017-08-01 08:05,24,Red,紅酒,Chateau Pavie,帕菲,N/A
578,CFW00930-2011-00750,Chateau Larteau,2011,Bordeaux,波爾多,750ml,RCA,54.06,5%,137.67,N/A,N/A,137.67,84,N/A,2017-08-01 08:05,20000,Red,紅酒,Chateau Larteau,N/A,N/A
579,CFW02103-2014-00750,Chateau Marjosse Rouge,2014,Bordeaux,波爾多,750ml,RCA,60.01,5%,144.41,N/A,N/A,144.41,84,N/A,2017-08-01 08:05,20000,Red,紅酒,Chateau Marjosse,N/A,N/A
580,CFW00230-2014-00750,La Mondotte,2014,"St. Emilion, Bordeaux",波爾多,750ml,Clarence Dillon,989.55,5%,1198.43,N/A,N/A,1198,209,N/A,2017-08-01 08:05,12,Red,紅酒,La Mondotte,拉梦多,N/A
