,wine,dictionary wine
0,BAHANS HAUT BRION ,Bahans Haut Brion
1,QUINTUS ,Chateau Quintus
2,MISSION HAUT BRION ,Chateau Mission Haut Brion
3,LES PLANTIERS DU HAUT BRION,Les Plantiers de Haut Brion
4,DRAGON DE QUINTUS,Le Dragon de Quintus
5,L'ARROSEE,Chateau L’Arrosee
6,TERTRE DAUGAY,Chateau Tertre Daugay
7,LAVILLE HAUT BRION ,Chateau Laville Haut Brion
8,CLARENCE HAUT BRION ,Le Clarence de Haut Brion
9,CARDINALE,Cardinale
10,VERITE LA JOIE,Verite La Joie
11,OPUS ONE,Opus One
12,MASSETO,Masseto
13,VERITE LA MUSE,Verite La Muse
14,NAPANOOK,Napanook
15,VEGA SICILIA UNICO,Vega Sicilia Unico
16,OVERTURE,Overture
17,VERITE LE DESIR,Verite Le Desir
18,SENA,Sena
19,ALMAVIVA,Almaviva
20,SOLAIA,Solaia
21,Maison Leroy - Chambolle Musigny,Maison Leroy Chambolle Musigny
22,TOUR SAINT BONNET,Chateau Tour Saint Bonnet
23,DUCRU BEAUCAILLOU,Chateau Ducru Beaucaillou
24,DRC/ECHEZEAUX,DRC Echezeaux
25,CLOTTE (LA),Chateau La Clotte
26,MALESCASSE,Chateau Malescasse
27,YQUEM (D'),Chateau d'Yquem
28,MEYNEY,Chateau Meyney
29,VEGA SICILIA UNICO,Vega Sicilia Unico
30,LESTAGE SIMON,Chateau Lestage Simon
31,DRC/LA TACHE,DRC La Tache
32,GRAND MAYNE,Chateau Grand Mayne
33,MARQUIS DE TERME,Chateau Marquis de Terme
34,BALESTARD LA TONNELLE,Chateau Balestard La Tonnelle
35,RUINART Blanc de Blancs,Ruinart Blanc De Blanc
36,CROIZET BAGES,Chateau Croizet Bages
37,TERTRE DAUGAY,Chateau Tertre Daugay
38,BROUSTET,Chateau Broustet
39,ANGELUS,Chateau Angelus
40,DRC/CORTON,DRC Corton
41,MARZELLE (LA),Chateau La Marzelle
42,CAMENSAC,Chateau Camensac
43,OPUS ONE,Opus One
44,FONPLEGADE,Chateau Fonplegade
45,COUSPAUDE (LA),Chateau La Couspaude
46,MOULIN ROUGE,Chateau du Moulin Rouge
47,FLEUR PETRUS (LA),Chateau La Fleur Petrus
48,Maison Leroy - Clos Vougeot,Maison Leroy Clos Vougeot
49,Maison Leroy - Volnay 1er Cru Les Brouillards,Maison Leroy Volnay 1er Cru Les Brouillards
50,BERNADOTTE,Chateau Bernadotte
51,RAUZAN GASSIES,Chateau Rauzan Gassies
52,PERRIER JOUET Belle Epoque Blanc de Blanc,Perrier Jouet Belle Epoque Blanc de Blanc
53,PHELAN SEGUR,Chateau Phelan Segur
54,GUIGAL LA MOULINE,E. Guigal La Mouline
55,CARONNE SAINTE GEMME,Chateau Caronne Sainte Gemme
56,SAINT PIERRE,Chateau Saint Pierre
57,PERRIER JOUET Blason Rosé,Perrier Jouet Blason Rose
58,MONT PERAT Blanc,Chateau Mont Perat Blanc
59,MARQUIS D'ALESME,Chateau Marquis d'Alesme
60,BELLE-VUE,Chateau Bellevue
61,CARLES (DE),Chateau Haut Carles
62,MISSION HAUT BRION,Chateau Mission Haut Brion
63,RAYNE VIGNEAU,Chateau Rayne Vigneau
64,CALON SEGUR,Chateau Calon Segur
65,Maison Leroy - Montagny 1er cru,Maison Leroy Montagny 1er Cru
66,BRANAS GRAND POUJEAUX,Chateau Branas Grand Poujeaux
67,CHEVAL BLANC,Chateau Cheval Blanc
68,MUMM Cordon Rouge,Mumm Cordon Rouge
69,POUGET,Chateau Pouget
70,ARMAND DE BRIGNAC Rosé,Armand de Brignac Rose
71,HAUT BATAILLEY,Chateau Batailley
72,PRIEURE LICHINE,Chateau Prieure Lichine
73,DOMINIQUE (LA),Chateau La Dominique
74,CADET BON,Chateau Cadet Bon
75,CITRAN,Chateau Citran
76,GUIGAL LA TURQUE,E. Guigal La Turque
77,VALANDRAUD,Chateau Valandraud
78,PAVIE DECESSE,Chateau Pavie Decesse
79,BRANAIRE DUCRU,Chateau Branaire Ducru
80,RUINART Rosé,Ruinart Rose
81,BARDE HAUT,Chateau Barde Haut
82,"DOMAINE DU BOUSCAT ""Les Portes de l'Am…"" ",Domaine du Bouscat Les Portes de L'Am
83,KIRWAN,Chateau Kirwan
84,DAUZAC,Chateau Dauzac
85,MARSAC SEGUINEAU,Chateau Marsac Seguineau
86,PAPE CLEMENT BLANC,Chateau Pape Clement Blanc
87,GUIGAL LA LANDONNE,E. Guigal La Landonne
88,BERLIQUET,Chateau Berliquet
89,MISSION HAUT BRION Blanc,Chateau La Mission Haut Brion Blanc
90,BELLEGRAVE,Chateau Bellegrave
91,CLINET,Chateau Clinet
92,BILLECART SALMON,Billecart Salmon
93,TOUR CARNET (LA),Chateau La Tour Carnet
94,CANTEMERLE,Chateau Cantemerle
95,CLOS PUY ARNAUD Cuvée Pervenche,Clos Puy Arnaud Cuvee Pervenche
96,DRC/ROMANEE CONTI,DRC Romanee Conti
97,BOLAIRE,Chateau Bolaire
98,PETIT FAURIE DE SOUTARD,Chateau Petit Faurie Soutard
99,VILLEMAURINE,Chateau Villemaurine
100,DOM PERIGNON (P3),Dom Perignon P3
101,MALLE (DE),Chateau de Malle
102,"DOMAINE DU BOUSCAT ""Caduce""",Domaine du Bouscat Caduce
103,ALMAVIVA,Almaviva
104,CARBONNIEUX Blanc,Chateau Carbonnieux Blanc
105,GRUAUD LAROSE,Chateau Gruaud Larose
106,RAUZAN SEGLA,Chateau Rauzan Segla
107,LAFLEUR,Chateau Lafleur
108,DURFORT VIVENS,Chateau Durfort Vivens
109,ARSAC (D'),Chateau d’Arsac
110,MONDOTTE (LA),La Mondotte
111,TOUR CARNET (LA) Blanc,Chateau La Tour Carnet Blanc
112,GAY (LE),Chateau Le Gay
113,NENIN,Chateau Nenin
114,CHARLES HEIDSIECK Brut,Charles Heidsieck Brut
115,Maison Leroy - Montagny,Maison Leroy Montagny
116,PAVIE,Chateau Pavie
117,FOMBRAUGE,Chateau Fombrauge
118,LARRIVET HAUT BRION Blanc,Chateau Larrivet Haut Brion Blanc
119,CAMBON LA PELOUSE,Chateau Cambon Le Pelouse
120,CLOS DE L'ORATOIRE,Clos de l’Oratoire
121,PALOUMEY,Chateau Paloumey
122,DRC/RICHEBOURG,DRC Richebourg
123,MUMM Rosé,Mumm Rose
124,FONROQUE,Chateau Fonroque
125,LASCOMBES,Chateau Lascombes
126,PONTET CANET,Chateau Pontet Canet
127,HAUT BAGES LIBERAL,Chateau Haut Bages Liberal
128,PEDESCLAUX,Chateau Pedesclaux
129,CANON LA GAFFELIERE ,Chateau Canon La Gaffeliere
130,LANESSAN,Chateau Lanessan
131,CONSEILLANTE (LA),Chateau La Conseillante
132,TROPLONG MONDOT,Chateau Troplong Mondot
133,MONTLISSE,Chateau Montlisse
134,LATOUR MARTILLAC Rouge,Chateau Latour Martillac Rouge
135,COS D'ESTOURNEL BLANC,Chateau Cos d'Estournel Blanc
136,LYNCH BAGES,Chateau Lynch Bages
137,LATOUR MARTILLAC Blanc,Chateau Latour Martillac Blanc
138,MOULIN HAUT LAROQUE,Chateau Moulin de la Roque
139,DRC/MONTRACHET,DRC Montrachet
140,ESCURAC (D'),Chateau d’Escurac
141,CROIX DE LABRIE,Chateau Croix de Labrie
142,DASSAULT,Chateau Dassault
143,LARMANDE,Chateau Larmande
144,SMITH HAUT LAFITTE Blanc,Chateau Smith Haut Lafitte Blanc
145,DOISY DAËNE,Chateau Doisy Daene
146,MUMM BRUT,Mumm Brut
147,GAFFELIERE (LA),Chateau La Gaffeliere
148,PAVIE MACQUIN,Chateau Pavie Macquin
149,CARBONNIEUX Rouge,Chateau Carbonnieux Rouge
150,BOLLINGER Spécial Cuvée ,Bollinger Special Cuvee
151,CLOS FLORIDENE Blanc,Clos Floridene Blanc
152,Maison Leroy - Volnay,Maison Leroy Volnay
153,LABEGORCE,Chateau Labegorce
154,TOUR DES TERMES,Chateau Tour des Termes
155,GRAND PUY LACOSTE,Chateau Grand Puy Lacoste
156,CLAUZET,Chateau Clauzet
157,CHAPOUTIER HERMITAGE BLANC,Chapoutier Hermitage Blanc
158,CLOS FLORIDENE Rouge,Clos Floridene Rouge
159,DOM PERIGNON,Dom Perignon
160,YON FIGEAC,Chateau Yon Figeac
161,HAURA,Chateau Haura
162,PIN (LE),Chateau Le Pin
163,FONBADET,Chateau Fonbadet
164,COS LABORY,Chateau Cos Labory
165,MONT PERAT Rouge,Chateau Mont Perat Rouge
166,FERRIERE,Chateau Ferriere
167,VIOLETTE (LA),Chateau La Violette
168,SENA,Sena
169,FONREAUD,Chateau Fonreaud
170,SUDUIRAUT ,Chateau Suduiraut
171,CLOS DES JACOBINS,Clos des Jacobins
172,TAILLEFER,Chateau Taillefer
173,ANGLUDET (D'),Chateau d’Angludet
174,FAUGERES,Chateau Faugeres
175,MYRAT,Chateau de Myrat
176,BEYCHEVELLE,Chateau Beychevelle
177,BOLLINGER La Grande Année,Bollinger La Grande Annee
178,PERRIER JOUET Brut,Perrier Jouet Brut
179,BRANE CANTENAC,Chateau Brane Cantenac
180,LAFLEUR GAZIN,Chateau Lafleur Gazin
181,PIN (Le),Chateau Le Pin
182,LEOVILLE POYFERRE,Chateau Leoville Poyferre
183,SERILHAN,Chateau Serilhan
184,VILLARS,Chateau Villars
185,TAITTINGER - Comtes de Champagne,Taittinger Comtes de Champagne
186,ARROSEE (L'),Chateau L’Arrosee
187,DURFORT-VIVENS,Chateau Durfort Vivens
188,GRAND PUY DUCASSE,Chateau Grand Puy Ducasse
189,SOCIANDO MALLET,Chateau Sociando Mallet
190,GRANDES MURAILLES,Chateau Les Grandes Murailles
191,LANGOA BARTON,Chateau Langoa Barton
192,CABANNE (LA),Chateau La Cabanne
193,FILHOT,Chateau Filhot
194,MONTROSE,Chateau Montrose
195,DESMIRAIL,Chateau Desmirail
196,MARGAUX,Chateau Margaux
197,SIGALAS RABAUD,Chateau Sigalas Rabaud
198,Maison Leroy - Chambertin,Maison Leroy Chambertin
199,GUIRAUD,Chateau Guiraud
200,HAUT MARBUZET,Chateau Haut Marbuzet
201,LAGRANGE,Chateau Lagrange
202,MAUCAILLOU,Chateau Maucaillou
203,COME,Chateau de Come
204,TALBOT,Chateau Talbot
205,FLEUR CARDINALE,Chateau Fleur Cardinale
206,BELGRAVE,Chateau Belgrave
207,AUSONE,Chateau Ausone
208,PEBY FAUGERES,Chateau Peby Faugeres
209,BILLECART SALMON Rosé,Billecart Salmon Rose
210,GLORIA,Chateau Gloria
211,POTENSAC,Chateau Potensac
212,HOSANNA,Chateau Hosanna
213,LATOUR,Chateau Latour
214,POUJEAUX,Chateau Poujeaux
215,FIGEAC,Chateau Figeac
216,FERRAND,Chateau de Ferrand
217,LAFON ROCHET,Chateau Lafon Rochet
218,TOUR BLANCHE (LA),Chateau La Tour Blanche
219,ROL VALENTIN,Chateau Rol Valentin
220,FOURCAS HOSTEN,Chateau Fourcas Hosten
221,HAUT BRION Blanc,Chateau Haut Brion Blanc
222,CLIMENS,Chateau Climens
223,CANON LA GAFFELIERE,Chateau Canon La Gaffeliere
224,CANTENAC BROWN,Chateau Cantenac Brown
225,DAUPHINE (DE LA),Chateau de La Dauphine
226,GRAND CORBIN,Chateau Grand Corbin
227,ISSAN (D'),Chateau d’Issan
228,COUTET,Chateau Coutet
229,HAUT CARLES,Chateau Haut Carles
230,FRANC MAYNE,Chateau Franc Mayne
231,TROTANOY,Chateau Trotanoy
232,SIRAN,Chateau Siran
233,DRC/GRANDS ECHEZEAUX,DRC Grands Echezeaux
234,SIAURAC,Chateau Siaurac
235,BELLEVUE MONDOTTE,Chateau Bellevue Mondotte
236,DOM PERIGNON OENOTHEQUE,Dom Perignon Oenotheque
237,LEOVILLE LAS CASES,Chateau Leoville Las Cases
238,MARGAUX ,Chateau Margaux
239,RUINART BRUT,Ruinart Brut
240,LAFITE ROTHSCHILD,Chateau Lafite Rothschild
241,DRC/ROMANEE SAINT VIVANT,DRC Romanee Saint Vivant
242,VIEILLE CURE (LA),Chateau La Vieille Cure
243,CHARMAIL,Chateau Charmail
244,LEOVILLE BARTON,Chateau Leoville Barton
245,ORNELLAIA,Ornellaia
246,BATAILLEY,Chateau Batailley
247,BOYD CANTENAC,Chateau Boyd Cantenac
248,CLOS FOURTET,Clos Fourtet
249,GRACIA,Chateau Gracia
250,DOISY VEDRINES,Chateau Doisy Vedrines
251,DESTIEUX,Chateau Destieux
252,SUDUIRAUT,Chateau Suduiraut
253,MOUTON ROTHSCHILD,Chateau Mouton Rothschild
254,PALMER,Chateau Palmer
255,Maison Leroy - Nuits Saint Georges,Maison Leroy Nuits Saint Georges
256,TOUR DE PEZ,Chateau Tour de Pez
257,LARCIS DUCASSE,Chateau Larcis Ducasse
258,TERTRE (DU),Chateau du Tertre
259,EGLISE CLINET (L'),Chateau L'Eglise Clinet
260,CANON,Chateau Canon
261,GAZIN,Chateau Gazin
262,DUHART MILON,Chateau Duhart Milon
263,KRUG Rosé,Krug Rose
264,CAP DE MOURLIN,Chateau Cap de Mourlin
265,COTEAU,Chateau Le Coteau
266,LILIAN LADOUYS,Chateau Lilian Ladouys
267,BEAU-SEJOUR BECOT,Chateau Beau Sejour Becot
268,MONBOUSQUET Blanc,Chateau Monbousquet Blanc
269,LYNCH BAGES / BLANC (DE),Chateau Lynch Bages Blanc
270,AIGUILHE (D'),Chateau d'Aiguilhe
271,HAUT BAILLY,Chateau Haut Bailly
272,LYNCH MOUSSAS,Chateau Lynch Moussas
273,GRAND CORBIN DESPAGNE,Chateau Grand Corbin Despagne
274,GISCOURS,Chateau Giscours
275,PERRIER JOUET Belle Epoque,Perrier Jouet Belle Epoque
276,SOUTARD,Chateau Soutard
277,PETRUS,Petrus
278,GRAND PUY LACOSTE,Chateau Grand Puy Lacoste
279,CLIMENS,Chateau Climens
280,TROPLONG MONDOT,Chateau Troplong Mondot
281,PUYGUERAUD,Chateau Puygueraud
282,LES GRANDES MURAILLES,Chateau Les Grandes Murailles
283,HAUT BAGES AVEROUS,Chateau Haut Bages Averous
284,CLINET ,Chateau Clinet
285,CLOS DU MARQUIS,Clos du Marquis
286,CANON LA GAFFELIERE,Chateau Canon La Gaffeliere
287,DULUC DE BRANAIRE DUCRU,Duluc de Branaire Ducru
288,ORMES DE PEZ,Chateau Les Ormes de Pez
289,RIEUSSEC,Chateau Rieussec
290,GAJA CONTESIA,Gaja Conteisa
291,MONBRISON,Chateau Monbrison
292,LAFITE ROTHSCHILD,Chateau Lafite Rothschild
293,LANGOA BARTON,Chateau Langoa Barton
294,DOMAINE DE CHEVALIER BLANC,Domaine de Chevalier Blanc
295,CANTEMERLE,Chateau Cantemerle
296,LYNCH BAGES,Chateau Lynch Bages
297,COUTET,Chateau Coutet
298,CLOTTE (LA),Chateau La Clotte
299,VALANDRAUD,Chateau Valandraud
300,BON PASTEUR,Chateau Le Bon Pasteur
301,PAPE CLEMENT BLANC,Chateau Pape Clement Blanc
302,MEYNEY,Chateau Meyney
303,ARMAILHAC,Chateau d’Armailhac
304,VEGA SICILIA UNICO,Vega Sicilia Unico
305,FORTS DE LATOUR,Les Forts de Latour
306,LA CONSEILLANTE,Chateau La Conseillante
307,PETIT VILLAGE,Chateau Petit Village
308,BEAUREGARD,Chateau Beauregard
309,HAUT BAGES LIBERAL,Chateau Haut Bages Liberal
310,LE GAY,Chateau Le Gay
311,LA FLEUR DE BOUARD,Chateau La Fleur de Bouard
312,Y D'YQUEM,"""Y"" d'Yquem"
313,SOLAIA,Solaia
314,LARRIVAUX,Chateau Larrivaux
315,LEOVILLE LAS CASES,Chateau Leoville Las Cases
316,DOISY DAENE BLANC,Chateau Doisy Daene Blanc
317,RABAUD PROMIS,Chateau Raubaud Promis
318,LA MISSION HAUT BRION BLANC,Chateau La Mission Haut Brion Blanc
319,GAJA BARBARESCO,Gaja Barbaresco
320,LATOUR A POMEROL  ,Chateau Latour a Pomerol
321,MONTROSE ,Chateau Montrose
322,ALLEES DE CANTEMERLE,Les Allees de Cantemerle
323,MARQUIS DE TERME  ,Chateau Marquis de Terme
324,ROUGET,Chateau Rouget
325,GRAND MAYNE,Chateau Grand Mayne
326,GRUAUD LAROSE,Chateau Gruaud Larose
327,LA DOMINIQUE,Chateau La Dominique
328,RAUZAN SEGLA,Chateau Rauzan Segla
329,FEYTIT CLINET,Chateau Feytit Clinet
330,GAJA SPERSS,Gaja Sperss
331,CLOS DES JACOBINS,Clos des Jacobins
332,EVANGILE,Chateau L'Evangile
333,CROIZET BAGES,Chateau Croizet Bages
334,LES HAUTS DE PONTET CANET,Hauts de Pontet Canet
335,MOULIN D ISSAN,Moulin d'Issan
336,TOUR CARNET,Chateau La Tour Carnet
337,SUDUIRAUT  ,Chateau Suduiraut
338,ALMAVIVA ,Almaviva
339,ANGELUS,Chateau Angelus
340,LA VIOLETTE,Chateau La Violette
341,PAGODES DE COS,Pagodes de Cos
342,LEOVILLE BARTON ,Chateau Leoville Barton
343,PAPE CLEMENT ROUGE ,Chateau Pape Clement Rouge
344,CHARMAIL,Chateau Charmail
345,ISSAN,Chateau d’Issan
346,FAUGERES,Chateau Faugeres
347,CLARTE DE HAUT BRION,La Clarte de Haut Brion
348,R DE RIEUSSEC,Chateau Rieussec
349,CANTENAC BROWN  ,Chateau Cantenac Brown
350,ECHO DE LYNCH BAGES,Echo de Lynch Bages
351,GRIFFONS DE PICHON BARON,Les Griffons de Pichon Baron
352,CROIX DE BEAUCAILLOU,Croix de Beaucaillou
353,GAJA COSTA RUSSI,Gaja Costa Russi
354,CAMENSAC,Chateau Camensac
355,CHAUVIN,Chateau Chauvin
356,SIRENE DE GISCOURS,Le Sirene de Giscours
357,NENIN,Chateau Nenin
358,PAVIE,Chateau Pavie
359,LA CROIX DE GAY,Chateau La Croix de Gay
360,FOMBRAUGE,Chateau Fombrauge
361,LA CROIX SAINT GEORGES,Chateau La Croix Saint Georges
362,BRANE CANTENAC,Chateau Brane Cantenac
363,PAVIE MACQUIN,Chateau Pavie Macquin
364,BARON DE BRANE,Baron de Brane
365,HAUT MARBUZET,Chateau Haut Marbuzet
366,BELLEVUE  ,Chateau Bellevue
367,PARDES DE HAUT BAILLY,La Parde Haut Bailly
368,CLOS DE L'ORATOIRE,Clos de l’Oratoire
369,LEOVILLE POYFERRE,Chateau Leoville Poyferre
370,TROTTEVIELLE,Chateau Trotte Vieille
371,D'AIGUILHE,Chateau d'Aiguilhe
372,RESERVE DE LA COMTESSE,Reserve de la Comtesse
373,HAUT BERGEY,Chateau Le Bergey
374,LA MISSION HAUT BRION,Chateau Mission Haut Brion
375,LE SAINT ESTEPHE DE MONTROSE,Le Saint Estephe de Montrose
376,PRELUDE A GRAND PUY DUCASSE,Prelude a Grand Puy Ducasse
377,DAME DE MONTROSE ,La Dame de Montrose
378,CLOS L'EGLISE,Chateau Clos L'Eglise
379,BERNADOTTE,Chateau Bernadotte
380,CLOS FOURTET  ,Clos Fourtet
381,L'AVENTURE ESTATE CUVEE,L'Aventure Estate Cuvee
382,BELLEFONT BELCIER,Chateau Bellefont Belcier
383,PALMER,Chateau Palmer
384,TROTANOY,Chateau Trotanoy
385,DRAGON DE QUINTUS,Le Dragon de Quintus
386,GRAND PUY DUCASSE,Chateau Grand Puy Ducasse
387,SOCIANDO MALLET,Chateau Sociando Mallet
388,FIEFS DE LAGRANGE,Les Fiefs de Lagrange
389,PONTET CANET,Chateau Pontet Canet
390,PHELAN SEGUR,Chateau Phelan Segur
391,GRAVETTE DE CERTAN,Gravette de Certain
392,TERTRE ROTEBOEUF,Chateau Tertre Roteboeuf
393,LARCIS DUCASSE,Chateau Larcis Ducasse
394,MOUTON ROTHSCHILD,Chateau Mouton Rothschild
395,SAINT PIERRE,Chateau Saint Pierre
396,MALESCOT SAINT EXUPERY,Chateau Malescot Saint Exupery
397,VIRGINIE DE VALANDRAUD BLANC,Virginie de Valandraud Blanc
398,TOUR BLANCHE,Chateau La Tour Blanche
399,LANESSAN,Chateau Lanessan
400,PEDESCLAUX,Chateau Pedesclaux
401,COS D'ESTOURNEL  blanc,Chateau Cos d'Estournel Blanc
402,BLASON D ISSAN,Blason d'Issan
403,LA FLEUR DE GAY,Chateau La Fleur de Gay
404,SAINT GEORGES COTE PAVIE,Chateau Saint Georges Cote Pavie
405,YQUEM  ,Chateau d'Yquem
406,QUINAULT L'ENCLOS,Chateau Quinault L’Enclos
407,MARGAUX,Chateau Margaux
408,DUHART MILON,Chateau Duhart Milon
409,CHEVALIER DE LASCOMBES   ,Chevalier de Lascombes
410,TENUTA SAN GUIDO GUIDALBERTO,Tenuta San Guido Guidalberto
411,BEAUSEJOUR BECOT,Chateau Beau Sejour Becot
412,HAUT BATAILLEY,Chateau Batailley
413,GUIRAUD,Chateau Guiraud
414,TRONQUOY LALANDE,Chateau Tronquoy Lalande
415,L'AVENTURE OPTIMUS,L'Aventure Optimus
416,LAGRANGE,Chateau Lagrange
417,GAZIN,Chateau Gazin
418,POITEVIN,Chateau Poitevin
419,LATOUR  ,Chateau Latour
420,RAYNE VIGNEAU,Chateau Rayne Vigneau
421,LILIAN LADOUYS,Chateau Lilian Ladouys
422,PIBRAN,Chateau Pibran
423,FLEUR CARDINALE,Chateau Fleur Cardinale
424,AUSONE,Chateau Ausone
425,L'AVENTURE COTE A COTE,L'Aventure Cote a Cote
426,CHEVAL BLANC,Chateau Cheval Blanc
427,MARQUIS DE MONS,Marquis de Mons
428,PEBY FAUGERES,Chateau Peby Faugeres
429,MASSETO,Masseto
430,GLORIA,Chateau Gloria
431,BELLEVUE MONDOTTE  ,Chateau Bellevue Mondotte
432,BELLEGRAVE  ,Chateau Bellegrave
433,LES CARMES HAUT BRION,Chateau Les Carmes Haut Brion
434,TEYSSIER,Chateau Teyssier
435,TAILLEFER,Chateau Taillefer
436,SASSICAIA,Sassicaia
437,EGLISE CLINET,Chateau L'Eglise Clinet
438,TERTRE,Chateau du Tertre
439,PRIEURE LICHINE,Chateau Prieure Lichine
440,TALBOT,Chateau Talbot
441,CROIX DE LABRIE,Chateau Croix de Labrie
442,DURFORT VIVENS,Chateau Durfort Vivens
443,DOMINUS ,Dominus
444,SIRAN,Chateau Siran
445,LABEGORCE  ,Chateau Labegorce
446,TOUR FIGEAC,Chateau La Tour Figeac
447,LAFON ROCHET,Chateau Lafon Rochet
448,GUADO AL TASSO,Tenuta Guado al Tasso
449,POUJEAUX,Chateau Poujeaux
450,LARMANDE,Chateau Larmande
451,MOULIN SAINT GEORGES,Chateau Moulin Saint Georges
452,GOULEE BY COS D'ESTOURNEL,Goulee by Cos d’Estournel
453,LALANDE BORIE,Chateau Lalande Borie
454,DUCRU BEAUCAILLOU ,Chateau Ducru Beaucaillou
455,COS LABORY  ,Chateau Cos Labory
456,FLEUR DE PEDESCLAUX,Fleur de Pedesclaux
457,CANON  ,Chateau Canon
458,FIGEAC,Chateau Figeac
459,GAFFELIERE (LA),Chateau La Gaffeliere
460,LE MARQUIS DE CALON SEGUR,Le Marquis de Calon Segur
461,PAVIE DECESSE,Chateau Pavie Decesse
462,HAUT BAILLY,Chateau Haut Bailly
463,LES CHARMES GODARD,Chateau Les Charmes Godard
464,LA CROIX DU CASSE,Chateau La Croix du Casse
465,LASCOMBES,Chateau Lascombes
466,BRANAIRE DUCRU,Chateau Branaire Ducru
467,DASSAULT,Chateau Dassault
468,GAJA SORI TILDIN,Gaja Sori Tildin
469,LYNCH MOUSSAS,Chateau Lynch Moussas
470,HAUT MEDOC DE GISCOURS,Le Haut Medoc de Giscours
471,TOUR SAINT BONNET,Chateau Tour Saint Bonnet
472,CONNETABLE DE TALBOT,Connetable Talbot
473,LACOSTE BORIE,Lacoste Borie
474,SARGET DE GRUAUD LAROSE,Sarget de Gruaud Larose
475,DU GLANA,Chateau du Glana
476,LA FLEUR PETRUS,Chateau La Fleur Petrus
477,CAP DE FAUGERES,Chateau Cap de Faugeres
478,GISCOURS,Chateau Giscours
479,PENSEES DE LA TOUR CARNET,Les Pensees de la Tour Carnet
480,PETRUS,Petrus
481,PELLERINS DE LAFON ROCHET,Les Pelerins de Lafon Rochet
482,BARDE HAUT,Chateau Barde Haut
483,L'AVENTURE ESTATE CABERNET,L'Aventure Estate Cabernet
484,CLOS FLORIDENE Blanc,Clos Floridene Blanc
485,KIRWAN,Chateau Kirwan
486,LES CARMES DE RIEUSSEC,Carmes de Rieussec
487,LA LAGUNE ,Chateau La Lagune
488,DAUZAC,Chateau Dauzac
489,CONFIDENCES DE PRIEURE LICHINE  ,Confidences de Prieure Lichine
490,CARBONNIEUX  BLANC,Chateau Carbonnieux Blanc
491,BEYCHEVELLE  ,Chateau Beychevelle
492,POTENSAC,Chateau Potensac
493,CALON SEGUR  ,Chateau Calon Segur
494,MEYNEY ,Chateau Meyney
495,LAFAURIE-PEYRAGUEY,Chateau Lafaurie Peyraguey
496,CLIMENS,Chateau Climens
497,MAUVESIN BARTON ,Chateau Mauvesin Barton
498,MALARTIC-LAGRAVIERE ROUGE,Chateau Malartic Lagraviere Rouge
499,FUGUE DE NENIN,Fugue de Nenin
500,BRANAIRE DUCRU ,Chateau Branaire Ducru
501,CLINET ,Chateau Clinet
502,CLOS DU MARQUIS,Clos du Marquis
503,CANON LA GAFFELIERE,Chateau Canon La Gaffeliere
504,CLINET,Chateau Clinet
505,RIEUSSEC,Chateau Rieussec
506,FARGUES,Chateau de Fargues
507,PAPE CLEMENT BLANC,Chateau Pape Clement Blanc
508,CROIX DE GAY (La) ,Chateau La Croix de Gay
509,LANGOA BARTON,Chateau Langoa Barton
510,ARMAILHAC (d'),Chateau d’Armailhac
511,FERRAND (de),Chateau de Ferrand
512,GRAND PUY DUCASSE ,Chateau Grand Puy Ducasse
513,COUTET,Chateau Coutet
514,ECHO DE LYNCH BAGES ,Echo de Lynch Bages
515,TALBOT ,Chateau Talbot
516,CARBONNIEUX ROUGE ,Chateau Carbonnieux Rouge
517,SIAURAC,Chateau Siaurac
518,DOMAINE DE CHEVALIER ROUGE ,Domaine de Chevalier Rouge
519,HAUT-BATAILLEY,Chateau Batailley
520,RAUZAN-SEGLA ,Chateau Rauzan Segla
521,SOCIANDO-MALLET ,Chateau Sociando Mallet
522,PRIEURE (Le) ,Chateau Le Prieure
523,GRUAUD LAROSE,Chateau Gruaud Larose
524,LATOUR-MARTILLAC BLANC,Chateau Latour Martillac Blanc
525,FLEUR DE GAY (la),Chateau La Fleur de Gay
526,LILIAN LADOUYS ,Chateau Lilian Ladouys
527,MALARTIC-LAGRAVIERE BLANC,Chateau Malartic Lagraviere Blanc
528,EVANGILE,Chateau L'Evangile
529,LEOVILLE LAS CASES,Chateau Leoville Las Cases
530,LAFITE ROTHSCHILD ,Chateau Lafite Rothschild
531,CALON-SEGUR,Chateau Calon Segur
532,LYNCH BAGES,Chateau Lynch Bages
533,ISSAN,Chateau d’Issan
534,LAFITE ROTHSCHILD,Chateau Lafite Rothschild
535,SARGET DE GRUAUD LAROSE ,Sarget de Gruaud Larose
536,CAMENSAC,Chateau Camensac
537,NENIN,Chateau Nenin
538,LALANDE BORIE ,Chateau Lalande Borie
539,CLOS FOURTET,Clos Fourtet
540,SMITH HAUT LAFITTE ROUGE ,Chateau Smith Haut Lafitte Rouge
541,HAUT-MARBUZET,Chateau Haut Marbuzet
542,MONDOTTE (La),La Mondotte
543,POUJEAUX ,Chateau Poujeaux
544,PICHON LONGUEVILLE BARON,Chateau Pichon Longueville Baron
