,Unnamed: 0,item id,wine,wine chinese,growth,type english,type chinese,vendor english,vendor chinese,region english,region chinese,country english,country chinese,rating,year,format,price,qty,negoce
126,126,CFW00192-2009-00750,Chateau Malartic Lagraviere Blanc,,Graves,White,白酒,Chateau Malartic Lagraviere,,"Pessac Leognan, Bordeaux",波爾多,France,法國,,2009,750ml,46.5,24,Clarence Dillon
127,127,CFW00006-1994-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,1994,750ml,395.0,5,Clarence Dillon
128,128,CFW00006-1997-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,1997,750ml,400.0,60,Clarence Dillon
129,129,CFW00006-1998-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,1998,750ml,380.0,15,Clarence Dillon
130,130,CFW00006-2001-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2001,750ml,399.0,4,Clarence Dillon
131,131,CFW00006-2004-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2004,750ml,370.0,43,Clarence Dillon
132,132,CFW00006-2012-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2012,750ml,360.0,60,Clarence Dillon
133,133,CFW00006-2013-00750,Chateau Margaux,瑪歌正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Chateau Margaux,瑪歌酒莊,"Margaux, Bordeaux","瑪歌, 波爾多",France,法國,,2013,750ml,340.0,12,Clarence Dillon
134,134,CFW02108-2013-00750,Chateau Mauvesin Barton,,,Red,紅酒,Chateau Mauvesin Barton,,Bordeaux,波爾多,France,法國,,2013,750ml,9.3,513,Clarence Dillon
135,135,CFW02108-2014-00750,Chateau Mauvesin Barton,,,Red,紅酒,Chateau Mauvesin Barton,,Bordeaux,波爾多,France,法國,,2014,750ml,9.3,598,Clarence Dillon
136,136,CFW00424-2010-00750,Chateau Meyney,,Cru Bourgeois Superieur,Red,紅酒,Chateau Meyney,,"St. Estephe, Bordeaux",波爾多,France,法國,,2010,750ml,23.0,36,Clarence Dillon
137,137,CFW00424-2012-00750,Chateau Meyney,,Cru Bourgeois Superieur,Red,紅酒,Chateau Meyney,,"St. Estephe, Bordeaux",波爾多,France,法國,,2012,750ml,21.0,479,Clarence Dillon
138,138,CFW00424-2014-00750,Chateau Meyney,,Cru Bourgeois Superieur,Red,紅酒,Chateau Meyney,,"St. Estephe, Bordeaux",波爾多,France,法國,,2014,750ml,18.0,202,Clarence Dillon
139,139,CFW00230-2011-00750,La Mondotte,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,La Mondotte,拉梦多,"St. Emilion, Bordeaux",波爾多,France,法國,,2011,750ml,110.0,24,Clarence Dillon
140,140,CFW00230-2013-00750,La Mondotte,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,La Mondotte,拉梦多,"St. Emilion, Bordeaux",波爾多,France,法國,,2013,750ml,100.3,24,Clarence Dillon
141,141,CFW00230-2014-00750,La Mondotte,,St. Emilion Premier Grand Cru Classe B,Red,紅酒,La Mondotte,拉梦多,"St. Emilion, Bordeaux",波爾多,France,法國,,2014,750ml,108.0,12,Clarence Dillon
142,142,CFW00050-1998-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,1998,750ml,95.0,1,Clarence Dillon
143,143,CFW00050-2001-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2001,750ml,90.0,1,Clarence Dillon
144,144,CFW00050-2002-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2002,750ml,70.0,1,Clarence Dillon
145,145,CFW00050-2004-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2004,750ml,78.0,1,Clarence Dillon
146,146,CFW00050-2013-00750,Chateau Montrose,,Bordeaux Grand Cru Classe 2nd Growths,Red,紅酒,Chateau Montrose,梦玫瑰,"St. Estephe, Bordeaux",波爾多,France,法國,,2013,750ml,59.0,288,Clarence Dillon
147,147,CFW00014-1999-00750,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,1999,750ml,460.0,12,Clarence Dillon
148,148,CFW00014-2009-00750,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2009,750ml,590.0,4,Clarence Dillon
149,149,CFW00014-2010-00750,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2010,750ml,625.0,30,Clarence Dillon
150,150,CFW00014-2011-00750,Chateau Mouton Rothschild,武當正牌,Bordeaux Grand Cru Classe 1st Growths,Red,紅酒,Baron Philippe de Rothschild,武當酒莊 －罗斯柴尔德男爵集團,"Pauillac, Bordeaux",波爾多,France,法國,,2011,750ml,360.0,12,Clarence Dillon
151,151,CFW00326-2002-00750,Chateau Nenin,,,Red,紅酒,Chateau Nenin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2002,750ml,40.0,60,Clarence Dillon
152,152,CFW00326-2013-00750,Chateau Nenin,,,Red,紅酒,Chateau Nenin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2013,750ml,27.0,90,Clarence Dillon
153,153,CFW00326-2014-00750,Chateau Nenin,,,Red,紅酒,Chateau Nenin,,"Pomerol, Bordeaux","波默罗, 波爾多",France,法國,,2014,750ml,29.0,240,Clarence Dillon
154,154,CFW00361-2009-00750,Chateau Les Ormes de Pez,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Les Ormes de Pez,,"St. Estephe, Bordeaux",波爾多,France,法國,,2009,750ml,29.5,6,Clarence Dillon
155,155,CFW00361-2010-00750,Chateau Les Ormes de Pez,,Cru Bourgeois Exceptionnel,Red,紅酒,Chateau Les Ormes de Pez,,"St. Estephe, Bordeaux",波爾多,France,法國,,2010,750ml,30.5,48,Clarence Dillon
