,                          THE CLASSICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
160,2001,CH. DUHART MILON ROTHSCHILD,DMag.,4TH GCC,Pauillac,1,cs,/3,378,89,,89,
161,2003,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,7,cs,,108,94,,92,93
162,2005,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,1,cs,,108,93,**** 18,93,
163,2006,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,20,cs,,98,92,****,89,
164,2007,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,59,cs,,69,90,**** 17,,
165,2008,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,40,cs,,85,94,,89,92
166,2011,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,47,cs,,59,89-91,**** 17.5,89,92
167,2012,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,8,cs,,53,89,17.50,90,90-91
168,2014,CH. DUHART MILON ROTHSCHILD,,4TH GCC,Pauillac,50,cs,,43.95,,17.5/20,90-93,92-93
169,,,,,,,,,,,,,
170,2012,ECHO DE LYNCH BAGES,,2nd label from Ch.Lynch Bages  ,Pauillac,30,cs,,25,,,89,
171,2013,ECHO DE LYNCH BAGES,,2nd label from Ch.Lynch Bages  ,Pauillac,18,cs,,21,,,86-89,
172,,,,,,,,,,,,,
173,2011,FLEUR DE PEDESCLAUX,,2nd label of Ch.Pédesclaux,Pauillac,110,cs,,13.98,,,,
174,2012,FLEUR DE PEDESCLAUX,,2nd label of Ch.Pédesclaux,Pauillac,100,cs,,13.98,,,,
175,2013,FLEUR DE PEDESCLAUX,,2nd label of Ch.Pédesclaux,Pauillac,300,cs,,13.6,,,,
176,,,,,,,,,,,,,
177,2005,LES FORTS DE LATOUR,,2nd label of Ch. Latour,Pauillac,15,cs,,175,93,**** 18,94,94
178,2006,LES FORTS DE LATOUR,,2nd label of Ch. Latour,Pauillac,5,cs,,150,92,****,89,
179,2007,LES FORTS DE LATOUR,Half,2nd label of Ch. Latour,Pauillac,2,cs,,72,90,**** 16.5,87-90,
180,2007,LES FORTS DE LATOUR,Mag.,2nd label of Ch. Latour,Pauillac,1,cs,/3,275,90,**** 16.5,87-90,
181,2009,LES FORTS DE LATOUR,,2nd label of Ch. Latour,Pauillac,50,cs,,160,93-95*,**** 18,92-95,
182,2010,LES FORTS DE LATOUR,,2nd label of Ch. Latour,Pauillac,9,cs,,178,97,**** 18,95,96
183,,,,,,,,,,,,,
184,2009,LA GABARE DE CROIZET BAGES,,2nd label of Ch. Croizet Bages,Pauillac,5,cs,,13.75,,,,
185,,,,,,,,,,,,,
186,2013,CH. GRAND PUY DUCASSE,,5TH GCC,Pauillac,3,cs,,22.8,84-86,16.75,87-90,89-90
187,,,,,,,,,,,,,
188,2007,CH. GRAND PUY LACOSTE,,5TH GCC,Pauillac,15,cs,,45,89-91,**** 17,87,
189,2008,CH. GRAND PUY LACOSTE,,5TH GCC,Pauillac,1,cs,,48,89,**** 17,87-90,
190,2011,CH. GRAND PUY LACOSTE,,5TH GCC,Pauillac,50,cs,,39.8,91,**** 17.5,91,93
191,2012,CH. GRAND PUY LACOSTE,,5TH GCC,Pauillac,70,cs,,38.5,91,17.75,93,93
192,2012,CH. GRAND PUY LACOSTE,Jero.,5TH GCC,Pauillac,1,cs,/1,295,91,17.75,93,93
193,2013,CH. GRAND PUY LACOSTE,,5TH GCC,Pauillac,100,cs,,33,,17.25,89-92,89-90
194,2013,CH. GRAND PUY LACOSTE,Half,5TH GCC,Pauillac,4,cs,,17,,17.25,89-92,89-90
195,2013,CH. GRAND PUY LACOSTE,Mag.,5TH GCC,Pauillac,5,cs,,66,,17.25,89-92,89-90
196,,,,,,,,,,,,,
197,2011,CH. HAUT BAGES LIBERAL,,5TH GCC,Pauillac,40,cs,,23.8,89,**** 16.5,90,93
198,2012,CH. HAUT BAGES LIBERAL,,5TH GCC,Pauillac,105,cs,,22.5,90,16.75,89,
199,2013,CH. HAUT BAGES LIBERAL,Mag.,5TH GCC,Pauillac,3,cs,,42,,16.25,86-89,91-92
200,,,,,,,,,,,,,
201,2011,CH. HAUT BATAILLEY,,5TH GCC,Pauillac,5,cs,,23.9,88,**** 17,89,92
202,2013,CH. HAUT BATAILLEY,,5TH GCC,Pauillac,25,cs,,21.9,,16.75,87-90,88-89
